# Swedish-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:47:47+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Sofia'''	Sofia
metafor	metaphor
metall	metal
metan	methane
metastas	metastasis
meter	meter
meter	metre
metod	method
metrosexuell	metrosexual
middag	noon
midja	waist
midnatt	midnight
mig	me
mig själv	myself
mikrovågsugn	microwave oven
miljard	milliard
miljard	billion
miljardär	billionaire
miljon	million
miljonär	millionaire
miljö	environment
millimeter	millimetre
min	my
min	face
min	mine
mina	mine
mindre hackspett	lesser spotted woodpecker
mineralogi	mineralogy
mineralvatten	water
minervauggla	little owl
minister	minister
minne	memory
minus	minus
minut	minute
mirakel	miracle
missbruk	abuse
missbruka	abuse
missförstå	mistake
missförstå	misunderstand
misshandel	abuse
misshandla	abuse
misslyckande	failure
misstänka	suspect
mitokondrie	mitochondrion
mitt	Template:center-centre-noun
mittpunkt	Template:center-centre-noun
mjau	meow
mjuk	soft
mjukvara	software
mjältbrand	anthrax
mjälte	spleen
mjöd	mead
mjöl	flour
mjöl	meal
mjölk	milk
mjölka	milk
mjölkerska	milkmaid
moafåglar	moa
mobiltelefon	mobile phone
mobiltelefon	cell phone
mod	courage
modell	model
modern	modern
modersmål	mother tongue
modig	brave
modig	bold
modus	mood
mogen	ripe
mogen	mature
moksja	Moksha
molekyl	molecule
moln	cloud
molybden	molybdenum
momang	moment
moms	VAT
monarki	monarchy
mongol	Mongolian
mongoliska	Mongolian
monoteism	monotheism
mor	mother
moral	morality
morbror	uncle
mord	murder
morfar	grandfather
morfem	morpheme
morgon	morning
morgon stund har guld i mun	the early bird gets the worm
morgondag	tomorrow
mormor	maternal grandmother
morot	carrot
moské	mosque
mossa	moss
moster	aunt
mot	for
mot	versus
motiv	motive
motivera	motivate
motor	engine
motorcykel	motorcycle
motorsåg	chainsaw
motorväg	highway
motsatt	opposite
motstånd	resistance
mottaga	receive
mottaga	copy
mottagande	reception
moturs	anticlockwise
mufflon	mouflon
mugg	mug
mugglare	Muggle
mullvad	mole
multiplicera	multiply
multiplikation	multiplication
multiversum	multiverse
mumie	mummy
mun	mouth
mungiga	Jew's harp
mungo	mongoose
munk	monk
munk	doughnut
muntlig	oral
mur	wall
murmeldjur	marmot
mus	mouse
musa	muse
museum	museum
musik	music
musikal	musical
musikant	musician
muslim	Muslim
muslimsk	Muslim
mussla	scallop
mustasch	moustache
mustasch	mustache
muta	bribe
mycket	very
mycket	much
mycket lite	minute
mygga	mosquito
mynt	coin
mynta	mint
myntverk	mint
myr	swamp
myra	ant
myrornas krig	snow
myrra	myrrh
myrslok	aardvark
mysterium	mystery
mystisk	mysterious
myt	myth
mytologi	mythology
män	men
mängd	set
mängdlära	set theory
människa	Man
människa	human
människa	man
människa	human being
människoapa	ape
mänsklig	human
mänskliga rättigheter	human rights
märg	marrow
märke	mark
märke	make
märr	mare
mätare	meter
mätt	full
mål	goal
måla	paint
målare	painter
måltid	meal
målvakt	goalkeeper
månad	month
månadsvis	monthly
måndag	Monday
måne	moon
månen	Moon
många	many
månvarv	moon
mård	marten
mårddjur	mink
mås	gull
mås	seagull
måste	must
måttstock	scale
möda	trouble
mögel	mould
möglighet	possibility
möjlig	possible
mörda	murder
mördare	murderer
mörk	dark
mörk	obscure
mörker	darkness
mörker	dark
möta	meet
nacke	nape
nagel	nail
naken	naked
namn	name
namnsdag	name day
narr	fool
nation	nation
nationalism	nationalism
nationalitet	nationality
nationalsång	national anthem
nationell	national
natrium	sodium
natt	night
natt	nocturnal
natur	nature
naturgas	natural gas
naturlig	natural
naturligtvis	of course
navel	navel
ned	down
nederländska	Dutch
nedladdning	download
nedtrycka	oppress
negativ	negative
neger	nigger
nej	no
nejlika	carnation
nekrofili	necrophilia
nentsiska	Nenets
neodym	neodymium
neon	neon
neptunium	neptunium
nervös	nervous
neutral	neutral
neutrino	neutrino
neutron	neutron
nevö	nephew
ni	you
nickel	nickel
niece	niece
nio	nine
niob	niobium
nionde	ninth
nippel	nipple
nittio	ninety
nitton	nineteen
njure	kidney
nobelium	nobelium
noggrannhet	accuracy
noll	zero
noll	love
nolla	zero
nollställe	zero
nominativ	nominative case
nominativ	nominative
nonsens	nonsense
nord	north
normal	normal
norr	north
norrman	Norwegian
norsk	Norwegian
norska	Norwegian
nos	nose
noshörning	rhinoceros
nota	check
november	November
nr	no.
nu	now
nu	present
nu	currently
nudel	noodle
nummer	number
numrera	number
nutida	contemporary
nuvarande	present
nuvarande	current
ny	recent
ny	new
nyckel	key
nyckelpiga	ladybird
nyckelpiga	ladybug
nyhet	news
nyheter	news
nysa	sneeze
nystan	ball
nytt år	New Year
nyttig	useful
näbb	beak
näbbdjur	platypus
näbbmus	shrew
nämna	name
när	when
när	as
när grisar flyger	when pigs fly
nära	near
nära	close
nära	next
närhet	vicinity
närvarande	present
närvaro	presence
näsa	nose
näsborre	nostril
näsduk	handkerchief
näsduk	tissue
näst sista	penultimate
nästa	next
nästan	almost
nästan	nearly
näste	nest
nät	net
någon	someone
någon	somebody
någon	anyone
någonstans	somewhere
något	something
några	some
nål	needle
nödvändig	necessary
nöjd	happy
nörd	nerd
nöt	nut
nötkreatur	cow
nötkött	beef
nötskrika	jay
oas	oasis
obestämd artikel	indefinite article
obesvarad kärlek	unrequited love
obetydlig	slight
obetydlig	insignificant
objekt	object
objektiv	objective
oboe	oboe
observatorium	observatory
observera	observe
observera	watch
occitanska	Occitan
ocean	ocean
och	and
och	plus
och-tecken	ampersand
också	also
också	too
odödlig	immortal
odödlighet	immortality
offentlig	public
offentliggöra	publish
offer	sacrifice
offra	sacrifice
ofta	often
ogift	unmarried
ogräs	weed
ohövlig	rude
ojämn	rough
ok	yoke
oktagon	octagon
oktober	October
olika	various
oliv	olive
olivträd	olive tree
olja	oil
olycka	misfortune
olämplig	bad
om	if
om	about
om	on
ombytlig	variable
omelett	omelette
omge	circle
omloppsbana	orbit
omslag	cover
omständighet	circumstance
omöjlig	impossible
onanera	masturbate
ond	evil
ond	bad
ondska	evil
ondskans axelmakter	axis of evil
onsdag	Wednesday
onödig	unnecessary
opassande	bad
operation	operation
operativsystem	operating system
operera	operate
orange	orange
ord	word
ordbok	dictionary
ordklass	part of speech
ordna	arrange
ordna	sort
ordnat par	ordered pair
ordning	order
ordnung	order
ordspråk	proverb
ordspråk	saying
ordvits	pun
oren	dirty
organisation	organization
organism	organism
orgel	organ
original-	original
orkan	hurricane
orkester	orchestra
orm	snake
orm	serpent
ormvråk	buzzard
oro	worry
oroa sig	worry
orre	black grouse
orsak	reason
ortoklas	orthoclase
orättmätig	dirty
orättvis	unjust
osmium	osmium
ost	cheese
ost	east
ostlig	east
ostvart	east
oundviklig	inevitable
ovanlighet	novelty
overksam	idle
oxe	ox
oxymoron	oxymoron
padda	toad
paj	pie
paket	package
palats	palace
palladium	palladium
palm	palm
panda	panda
pandeism	pandeism
panenteism	panentheism
panna	forehead
pannkaka	pancake
panteism	pantheism
papegoja	parrot
pappa	daddy
papper	paper
pappers-	paper
par	pair
parabel	parabola
parad	parade
paradis	paradise
paradox	paradox
parallell	parallel
paraply	umbrella
parfym	perfume
pariserhjul	Ferris wheel
park	garden
park	park
parkera	park
parotit	mumps
parti	party
particip	participle
pascha	pasha
pass	passport
passa	fit
passagerare	passenger
passare	pair of compasses
patient	patient
patt	stalemate
paus	pause
pederast	pederast
pejorativt	pejorative
pekfinger	forefinger
pelare	pillar
pengar	money
penis	penis
penna	pen
penny	penny
pentagon	pentagon
peppar	pepper
pepparrot	horseradish
perestrojka	perestroika
perfekt klassisk gas	ideal gas
perfektparticip	past participle
period	period
person	person
personlig	personal
personlighet	personality
pest	plague
petroleum	petroleum
piggsvin	porcupine
pil	arrow
pil	willow
pilgrimsfalk	peregrine falcon
piller	pill
pingvin	penguin
pipa	pipe
pirat	pirate
piraya	piranha
piska	whip
pissa	piss
pistol	pistol
pixel	pixel
pjäs	play
plan	plane
plan	field
planera	plan
planet	planet
planeten X	Planet X
planta	plant
plantera	plant
platform	stage
platina	platinum
plats	place
plats	room
plattform	platform
ploga	ear
ploja	plough
ploja	plow
plommon	plum
plommonträd	plum
plural	plural
plural, flertal	plural
plutonium	plutonium
plåga	torment
plåmbok	wallet
plåster	band-aid
plöja	till
plötslig	sudden
plötsligt	suddenly
poesi	poetry
poet	poet
pojke	boy
pojkvän	friend
pojkvän	boyfriend
pol	pole
polack	Pole
polera	polish
polis	police
polis	police officer
polisstation	police station
politik	politics
politik	policy
politiker	politician
polityr	polish
polonium	polonium
polsk	Polish
polska	Polish
polyamori	polyamory
polygon	polygon
polysyntetisk	polysynthetic
pommes frites	french fries
popcorn	popcorn
popemobile	Popemobile
populär	popular
porslin	porcelain
portion	portion
portugis	Portuguese
portugisisk	Portuguese
portugisiska	Portuguese
position	position
positiv	positive
possessivt pronomen	possessive pronoun
postkontor	post office
potatis	potato
poängsumma	score
pragmatisk	pragmatic
praktik	practice
prata	talk
precis	precise
premiärminister	prime minister
prenumerera	subscribe
preposition	preposition
present	gift
present	present
president	president
prick	dot
prim	prime
primtal	prime number
primär	primary
princip	principle
pris	price
pris	prize
privat	private
privilegium	privilege
problem	problem
procedur	procedure
procent	percent
process	process
producera	produce
produkt	product
program	Template:program-programme-noun
programmeringsspråk	programming language
projekt	project
promenad	walk
prometium	promethium
pronomen	pronoun
propaganda	propaganda
prosit	bless you
prostituerad	prostitute
protes	prosthesis
protestant	Protestant
protokoll	minute
proton	proton
prototyp	prototype
prov	test
provbit	sample
provins	province
prydlig	neat
prärievarg	coyote
präst	priest
psykiater	psychiatrist
psykolog	psychologist
psykologi	psychology
psykopolitik	psychopolitics
puck	puck
puder	powder
puls	pulse
pump	pump
pund	pound
pung	pouch
pungråtta	opossum
punkt	period
punkt	point
punkt	dot
purjolök	leek
purpur	purpure
pyjamas	pajamas
pyjamas	pyjamas
pyramid	pyramid
pytonorm	python
pärlhöna (hjälmpärlhöna)	guinea fowl
päron	pear
päronträd	pear
på	at
på	on
på	about
på väg att	about
påfågel	peacock
påminna	remind
påsk	Easter
påskynda	accelerate
påskägg	Easter egg
påstående	statement
påve	pope
quechua	Quechua
rabarb	rhubarb
rabatt	bed
rabbin	rabbi
rad	row
radio	radio
radon	radon
rak	right
rak	straight
raka	shave
raket	rocket
raket	missile
rakkniv	razor
ram	frame
rand	edge
rapphöna	partridge
rapport	report
rapportera	report
rea	sale
reaktion	reaction
realisera	realize
realism	realism
rebell	rebel
recept	prescription
rede	nest
redigera	edit
referat	abstract
regel	law
regel	rule
regelbunden	regular
regering	government
regissör	director
registrera	register
reglera	regulate
reglering	regulation
regn	rain
regnbåge	rainbow
rekommendera	recommend
rekord	record
relativ	relative
religion	religion
ren	reindeer
ren	pure
rep	rope
reparation	repair
reparera	repair
repetera	repeat
representant	representative
representera	represent
reptil	reptile
republik	republic
resa	travel
resa	voyage
resa	trip
resa	journey
resande	travel
reserv	reserve
reservera	reserve
respekt	respect
rest	rest
restaurang	restaurant
resultat	result
resurs	resource
resväska	suitcase
retirera	retreat
revben	rib
revolution	revolution
ribba	bar
rida	ride
riddare	knight
rik	rich
rike	kingdom
rike	realm
riket	empire
riklighet	plenty
rikoschettera	skim
ring	ring
ringa	ring
ringa	phone
ringa	call
ringa	telephone
ringa in	circle
ringfinger	ring finger
ris	rice
rita	draw
riva	tear
ro	row
rock	rock
rock	coat
rocka	ray
rockad	castling
rodium	rhodium
rodna	Template:color-colour (verb)
rolig	funny
rollfigur	character
rom	roe
rom	rum
roman	novel
romare	Latin
rop	call
ropa	call
ros	rose
rosa	pink
rosmarin	rosemary
rost	rust
rostfritt stål	stainless steel
rot	root
rovfågel	bird of prey
rubidium	rubidium
ruin	ruin
rulla	roll
rullstol	wheelchair
rulltrappa	escalator
rum	room
rumfartyg	spacecraft
rumän	Romanian
rumänsk	Romanian
rumänska	Romanian
runka	jerk off
runt	about
rustning	armour
rutenium	ruthenium
rutil	rutile
rutten	rotten
ruttna	decay
ruttna	rot
rygg	back
ryggmärg	spinal cord
ryggrad	backbone
ryggrad	spine
ryka	smoke
rymd	space
rymdfärja	Space Shuttle
rysk	Russian
ryska	Russian
ryss	Russian
rädda	save
rädda	rescue
rädisa	radish
räka	shrimp
rät	right
rät triangel	right triangle
rätt	right
rätt	law
rätta	right
rättsligt	legal
rättvis	just
räv	fox
rå	raw
råd	council
rådjur	roe deer
råg	rye
råka	rook
råolja	crude oil
råtta	rat
råvara	raw material
röd	red
rödförskjutning	redshift
rödhake	robin
rödvin	red wine
rök	smoke
röka	smoke
röntgenium	roentgenium
rör	pipe
röra	touch
rörelse	motion
rörmokare	plumber
röst	voice
rösta	vote
rött	gules
röva	rob
rövhål	asshole
sabel	sabre
sabotage	sabotage
saffran	saffron
safir	sapphire
saga	fable
sak	thing
sakna	miss
sallad	salad
sallat	lettuce
salt	salty
salt	salt
salta	salt
saltsyra	hydrochloric acid
samarbeta	collaborate
samarbeta, kollaborera	collaborate
samhälle	society
samiska	Saami
samiska	Sami
sammanfattning	summary
sammanstötning	wreck
samslaviska	Old Slavonic
samslaviska	Common Slavonic
samtalsämne	topic
samtida	contemporary
samtidig	simultaneous
samtidigt	simultaneously
samuraj	samurai
samvete	conscience
sand	sand
sandpapper	sandpaper
sandstrand	beach
sandstrand	sand
sandwich	sandwich
sann	true
sann	real
sanning	truth
sannolikt	probably
sarkasm	sarcasm
sarkofag	sarcophagus
satellit	satellite
sax	scissors
saxofon	saxophone
scen	scene
schack	chess
schack	check
schackbräde	chessboard
schakal	jackal
schampoo	shampoo
schema	scheme
schimpans	chimpanzee
se	see
se	sight
segel	sail
seger	victory
seger	win
segla	sail
segling	sailing
sekel	century
sekreterare	secretary
sekt	sect
sekund	second
sekundant	second
selen	selenium
semestra	vacation
sena	tendon
senap	mustard
senat	senate
sengångare	sloth
sensation	feeling
september	September
serb	Serbian
serb	Serb
serbisk	Serbian
sergeant	sergeant
seriös	serious
servett	napkin
sevärdhet	sight
sex	six
sex	sex
sexologi	sexology
sextio	sixty
sexton	sixteen
sexuell	sexual
sexuella trakasserier	sexual harassment
sfär	sphere
show	show
sida	page
sida	side
siffra	numeral
siffra	figure
sig själv	himself
sig själv	oneself
sig själva	themselves
sigill	seal
sigsjälvt	itself
sikte	sight
sikte	aim
silke	silk
silkesfjäril	silkworm
sill	herring
silver	silver
silver	argent
simbassäng	swimming pool
simma	swim
sinne	sense
sinnesfrid	peace
sinnessjukdom	insanity
sist	last
sju	seven
sjuhundrafemtio	seven hundred and fifty
sjuk	sick
sjukdom	illness
sjukdom	disease
sjukhus	hospital
sjuksköterska	sister
sjuksköterska	nurse
sjunde	seventh
sjunga	sing
sjunka	sink
sjusovare	dormouse
sjuttio	seventy
sjutton	seventeen
själ	soul
själv	self
självbiografi	autobiography
självmord	suicide
självständig	sovereign
självständighet	independence
sjätte	sixth
sjö	sea
sjö	lake
sjöflygplan	seaplane
sjöfågel	waterfowl
sjörövare	pirate
sjöstjärna	starfish
skabb	scabies
skada	injury
skada	wound
skada	damage
skal	peel
skalbagge	beetle
skall	bark
skalle	skull
skallig	bald
skam	shame
skandium	scandium
skapa	create
skarp	sharp
skata	magpie
skatt	treasure
skatt	tax
sked	spoon
skelett	skeleton
skenbar	ostensible
skenben	shinbone
skepp	ship
skicka	send
skicklighet	skill
skida	ski
skidskytte	biathlon
skilsmässa	divorce
skinka	ham
skit	shit
skita	shit
skitsnack	bullshit
skitstövel	bastard
skjorta	shirt
skjuta	shoot
skjuta	fire
skjuta på	push
skjutvapen	firearm
sko	shoe
skog	forest
skogsdunge	woods
skokräm	shoe polish
skola	school
skotsk gäliska	Scottish Gaelic
skott	shot
skottår	leap year
skrattmås	black-headed gull
skribent	writer
skrika	shout
skrika	scream
skriva	write
skrivmaskin	typewriter
skruv	screw
skruvmejsel	screwdriver
skräck	terror
skräck	fear
skräddare	tailor
skrämma	scare
skräpmat	junk food
skugga	shadow
skuld	guilt
skulderblad	shoulder blade
skuldra	shoulder
skulptur	sculpture
skum	foam
skumma	skim
skumrask	twilight
skunk	skunk
skur	shower
skydda	shield
skydda	protect
skyddsling	minion
skyffel	shovel
skyltfönster	window
skymning	twilight
skynda	hurry
skyskrapa	skyscraper
skägg	beard
skälla	bark
skämt	joke
skämta	joke
skänka	gift
skänka	donate
skär	pink
skärgård	archipelago
skådespelare	actor
skådespelerska	actress
skål	cheers
sköld	shield
sköldpadda	turtle
sköldpadda	tortoise
slag	battle
slagskepp	battleship
slagträ	bat
slaktare	butcher
slank	slender
slav	Slav
slicka	lick
slingra	snake
slips	tie
slips	necktie
slott	castle
slovak	Slovak
slovakiska	Slovak
sloven	Slovene
sloven	Slovenian
slovensk	Slovene
slovenska	Slovene
slovenska	Slovenian
slug	sly
slup	sloop
sluta	quit
sluta	stop
slyna	bitch
släkt	people
släkte	genus
släkting	relative
släppa	release
slå	beat
slå två flugor i en smäll	kill two birds with one stone
slå vad	bet
slö	dull
smaklig måltid	bon appétit
smed	smith
smeknamn	nickname
smickra	butter up
smärta	pain
smör	butter
snabb	quick
snabb	fast
snabb	rapid
snabbmat	fast food
snabel	trunk
snabel-a	at sign
snabel-a	at symbol
snart	soon
snitt	intersection
snobb	snob
snopp	dick
snor	snot
snubbe	dude
snuskig	dirty
snäll	kind
snö	snow
snöa	snow
snöboll	snowball
snöflinga	snowflake
snögubbe	snowman
snöleopard	snow leopard
snöstorm	snowstorm
socialism	socialism
socka	sock
sockerbeta	sugar beet
sockervadd	cotton candy
soffa	sofa
sol	Sun
solfjäder	fan
solglasögon	sunglasses
solnedgång	sunset
solros	sunflower
solsystem	solar system
soluppgång	sunrise
som	that
som	as
som	who
som	like
som	which
sometimes expressed by the prefix ut-	out
sommar	summer
sonatform	sonata form
sondotter	granddaughter
sonett	sonnet
soppa	soup
sorbiska	Sorbian
sorg	sorrow
sort	sort
sortera	sort
sortering	sort
soul	soul
sova	sleep
sovrum	bedroom
spade	spade
spader	spade
spader	spades
spagetti	spaghetti
spanska	Spanish
spara	save
spark	kick
sparka	fire
sparka	kick
sparv	sparrow
specialitet	specialty
specialitet	speciality
speciell	special
specifik	specific
spegel	Template:mirror/Translations
spel	game
spel	play
spela	play
spela trumpet	trumpet
spelkort	playing card
spelpjäs	man
spets	lace
spik	nail
spika	nail
spillkråka	black woodpecker
spindel	spider
spion	spy
spionera	spy
spis	fire
sport	sport
spott	saliva
spotta	spit
sprida	scatter
springa	run/experiment
springa	run
springare	knight
sprit	spirit
språk	language
späckhuggare	orca
späckhuggare	killer whale
spädbarn	baby
spänning	stress
spänning	voltage
spårvagn	tram
spöke	ghost
stabil	stable
stackare	worm
stackars	poor
stad	city
stad	town
stam	trunk
stam	tree trunk
stam	tribe
stamcell	stem cell
stank	stink
stanna	stop
stanna	stay
stare	starling
stark	strong
start	start
stat	state
station	station
statistik	statistics
statskupp	coup d'état
staty	statue
stav	pole
stav	stick
stava	spell
stavelse	syllable
steg	step
stege	ladder
stek	steak
steka	fry
sten	stone
sten-	stone
stena	stone
stenåldern	Stone Age
stick	get lost
stig	path
stiga	appreciate
stiga	ascend
stigbygel	stirrup
stilig	handsome
stim	school
stjäla	steal
stjärna	star
stock	log
stol	chair
stolt	proud
stolthet	pride
stoppa	stop
stor	big
stor	large
stork	stork
storskarv	cormorant
stortå	big toe
straff	sentence
straff	penalty
straffa	punish
strand	shore
strejk	strike
strid	fight
strida	fight
strof	stanza
strontium	strontium
strumpa	stocking
struphuvud	larynx
struts	ostrich
stryka	iron
strykjärn	iron
sträcka	stretch
sträng	string
sträng	strict
stråke	bow
stråle	ray
ström	current
ström	stream
ström	flow
strömbrytare	switch
strömma	flow
student	student
studera	study
stum	dumb
stum	mute
stund	while
stycke	piece
stygg	naughty
styra	rule
styrka	strength
styvfar	stepfather
ställa till, sätta i gång	stir up
stämning	mood
ständig	permanent
stänga	close
stänga igen	can
stängd	closed
stål	steel
stål-	steel
stöld	theft
stör	stake
större hackspett	great spotted woodpecker
subjekt	subject
subliminal perception	subliminal message
substantiv	noun
subtrahera	subtract
subtraktion	subtraction
suga	suck
sugrör	drinking straw
sumeriska	Sumerian
summa	total
summa	sum
superlativ	superlative
sur	sour
sur	acid
surrealism	surrealism
surt regn	acid rain
svag	weak
svaghet	weakness
sval	cool
svala	swallow
svamp	mushroom
svamp	fungus
svan	swan
svans	tail
svar	answer
svart	black
svart	sable
svart hål	black hole
svartnäbbad islom	great northern diver
svavel	sulfur
svensk	Swedish
svensk	Swede
svenska	Swedish
svett	sweat
svett	perspiration
svettas	sweat
svägerska	sister-in-law
svälja	swallow
svälla	swell
svältning	starvation
svära	swear
svärd	sword
svärdotter	daughter-in-law
svärord	swear word
svärson	son-in-law
svår	difficult
swedish	english
sy	sew
syd	south
sydamerika	South America
sydnäktergal	nightingale
sydost	southeast
sydöstra	southeast
syl	awl
syllogism	syllogism
sylt	jelly
symaskin	sewing machine
symfoni	symphony
sympatisk	nice
sympatiska nervsystemet	sympathetic nervous system
symptom	symptom
syn	sight
synagoga	synagogue
synd	sin
synd	shame
synda	sin
syndabock	scapegoat
synkronisera	synchronize
synlig	visible
synonymordbok	thesaurus
synvinkel	angle
syra	acid
syra-	acid
syre	oxygen
syrsa	cricket
syskon	sibling
sysselsättning	occupation
system	system
syster	sister
systerdotter	niece
systerson	nephew
säck	sack
säckpipa	bagpipes
sädesledare	vas deferens
sädesvätska	semen
säker	sure
säkerhet	security
säkerligen	surely
säl	seal
sälja	sell
sällan	seldom
sällsynt	rare
säsong	season
sätt	way
sätta	set
sätta eld på	set on fire
sätta sig	sit down
sätta värde på	appreciate
så	how
så	sow
så småningom	eventually
så snart som	once
såg	saw
såga	saw
såll	sieve
sång	song
sångare	singer
sånglärka	skylark
sår	wound
såra	wound
såra	hurt
sås	sauce
sås	gravy
såvida ej	unless
söder	south
södra	southern
söka	search
söka	seek
sökande	search
sökare	seeker
sökmotor	search engine
sömn	sleep
söndag	Sunday
sörja	mourn
söt	sweet
t-shirt	T-shirt
t.ex.	e.g.
ta	take
ta itu med	face
ta upp	open
tabell	table
tack	thank you
tack	please
tack	thanks
tack så mycket	thank you very much
tack, jag mår bra	I'm fine, thank you
tacka	ewe
tadzjikiska	Tajik
taggtråd	barbed wire
tak	roof
tak	ceiling
tal	number
tal	language
tal	speech
tala	speak
talang	talent
talar du engelska	do you speak English
talare	speaker
talgoxe	great tit
tall	pine
tallium	thallium
tallkottkörteln	pineal gland
talrik	numerous
tam	tame
tamil	Tamil
tamiller	ferret
tamilska befrielsetigrarna	Tamil Tigers
tand	tooth
tandborste	toothbrush
tandkräm	toothpaste
tandkött	gum
tandläkare	dentist
tangent	key
tangentbord	keyboard
tanke	thought
tant	aunt
tantal	tantalum
tapet	wallpaper
tapir	tapir
tarm	intestine
tatuera	tattoo
tatuering	tattoo
tavla	picture
tavla	board
tax	dachshund
taxi	taxi
te	tea
teater	theater/homonyms
teblad	tea leaf
tecken	sign
teddybjörn	teddy bear
tegel	brick
teknetium	technetium
teknik	technique
telefon	telephone
telefon	phone
telefonnummer	telephone number
telefonsamtal	call
telegram	telegram
teleskop	telescope
television	television
tellur	tellurium
tema	theme
temperatur	temperature
tempus	tense
tendens	tendency
tenn	tin
tennis	tennis
teologi	theology
teori	theory
termiter	termite
termometer	thermometer
territorium	territory
terrorism	terrorism
tesked	teaspoon
testamente	will
testosteron	testosterone
thailändska	Thai
tia	ten
tid	time
tid	age
tidigare	old
tidigare	once
tidigt	early
tidningspapper	newspaper
tidskrift	magazine
tiger	tiger
tik	bitch
till	to
till	until
till exempel	for example
tillbaka	back
tillfredsställning	satisfaction
tillfälle	opportunity
tillfälle	occasion
tillfällig	temporary
tillfällig	occasional
tillräcklig	sufficient
tillräckligt	enough
tills	until
tills	till
tillsammans	together
tillstånd	state
tillstånd	condition
tillvaro, existens	being
tillåtelse	permission
timglas	hourglass
timme	hour
timmerman	carpenter
tio	ten
tio tusen	ten thousand
tionde	tenth
tisdag	Tuesday
tistel	thistle
titan	titanium
titel	title
tjeck	Czech
tjeckisk	Czech
tjeckiska	Czech
tjej	chick
tjock	thick
tjock	fat
tjugo	twenty
tjugoett	twenty-one
tjugofem	twenty-five
tjugofyra	twenty-four
tjugonio	twenty-nine
tjugosex	twenty-six
tjugosju	twenty-seven
tjugotre	twenty-three
tjugotvå	twenty-two
tjugoåtta	twenty-eight
tjur	bull
tjuv	thief
tjäder	capercaillie
tjänst	service
tjära	tar
toalett	bathroom
toalett	toilet
toalettpapper	toilet paper
tobak	tobacco
tolerera	tolerate
tolfte	twelfth
tolk	interpreter
tolv	twelve
tom	empty
tomat	tomato
tomma mängden	empty set
tomt	garden
ton	tone
ton	ton
tonart	key
tonåring	teenager
topp	top
topp	peak
torg	square
torka	dry
torn	castle
torn	rook
tornado	tornado
tornfalk	common kestrel
tornfalk	kestrel
tornuggla	barn owl
torr	dry
torsdag	Thursday
torsk	cod
torv	peat
tradition	tradition
trafik	traffic
tragedi	tragedy
trakt	region
traktor	tractor
trana	crane
tranbär	cranberry
transformation	transformation
transitivt verb	transitive verb
transport	transportation
transrealism	transrealism
transvestit	transvestite
trappa	stairs
trappa	stair
trasig	bad
tratt	funnel
tre	three
tre gånger	thrice
trea	three
tredje	third
tremulant	trill
trettio	thirty
trettioett	thirty-one
trettiofem	thirty-five
trettiofyra	thirty-four
trettionio	thirty-nine
trettiosex	thirty-six
trettiosju	thirty-seven
trettiotre	thirty-three
trettiotvå	thirty-two
trettioåtta	thirty-eight
tretton	thirteen
trettonde	thirteenth
triangel	triangle
triljon	trillion
tro	think
tro	belief
trogen	true
trollformel	spell
trollslända	dragonfly
trollstav	magic wand
trombon	trombone
tron	throne
trottoar	pavement
trumhinna	eardrum
tryck	pressure
trycka	press
trycka	print
trygghet	safety
trä	wood
trä	timber
träblåsinstrument	woodwind instrument
träd	tree
trädgård	garden
träffa	meet
träna	train
träning	training
träning	exercise
tråd	thread
tråd	wire
tråkig	boring
tråkig	dull
trång	narrow
trött	tired
tsar	czar
tsar	tzar
tsar	tsar
tsarinna	tsarina
tsarinna	czarina
tsunami	tsunami
tuberculos	tuberculosis
tugga	chew
tuggummi	chewing gum
tulpan	tulip
tumme	thumb
tung	heavy
tunga	tongue
tungkyss	french kiss
tungt vatten	heavy water
tupp	rooster
tupp	cock
tur	luck
turist	tourist
turk	Turk
turkisk	Turkish
turkiska	Turkish
turkos	turquoise
tursam	lucky
turturduva	turtle dove
tusen	thousand
tusen tack	many thanks
tuta	horn
tv, teve	TV
tveka	doubt
tvekan	doubt
tvestjärt	earwig
tvetydig	ambiguous
tvätta	wash
tvättbjörn	raccoon
två	two
två	twice
två veckor	fortnight
tvåa	two
tvåhundra	two hundred
tvål	soap
tycka	think
tycka om	like
tydlig	obvious
tygel	rein
tyngd	gravity
tyngd	weight
tysk	German
tyska	German
tyst	quiet
tystna	quiet
tystnad	silence
tyvärr	unfortunately
täcka	cover
tält	tent
tända	light
tändsticka	match
tändstift	spark plug
tänka	think
tänka	mean
tärning	die
tävling	competition
tå	toe
tåg	train
tåla	bear
tålamod	patience
tålmodig	patient
tår	tear
tårta	cake
tömma	empty
törst	thirst
törstig	thirsty
ubåt	submarine
uggla	owl
ugn	oven
ugn	stove
ukrainsk	Ukrainian
ukrainska	Ukrainian
ull	wool
unbibium	unbibium
unbinilium	unbinilium
unbiunium	unbiunium
under	under
under	wonder
underbar	wonderful
underbyxa	pants
underbyxa	underpants
underhandling	negotiation
underhåll	service
underpant	pledge
undertrycka	suppress
undra	wonder
undvika	avoid
ung	young
ungdom	youth
unge	young
ungefär	about
ungersk	Hungarian
ungersk notation	Hungarian notation
ungerska	Hungarian
