# French-English dictionary created from English Wiktionary
# Created on: 2011-03-23T11:21:30+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Mickey Mouse'''	Mickey Mouse
hypertension	hypertension
hypocrisie	hypocrisy
hyponyme	hyponym
hypothèque	mortgage
hypoténuse	hypotenuse
hyène	hyena
hébreu	Hebrew
hédonisme	hedonism
hégire	Hegira
hégire	Hijra
hélas	alas
hélicoptère	helicopter
hélium	helium
hémisphère	hemisphere
hémorragie	haemorrhage
hémorragie	hemorrhage
hépatique	liverwort
hérisson	hedgehog
hérisson de mer	sea urchin
hériter	inherit
héron	heron
héron cendré	grey heron
héros	hero
héroïne	heroin
héroïne	heroine
hérétique	heretic
hétérogène	heterogeneous
hétérosexualité	heterosexuality
hêtre	beech
hôpital	hospital
hôtel	hotel
iceberg	iceberg
ichthyologie	ichthyology
ici	here
ici	hither
iconostase	iconostasis
identifier	name
identité	identity
idiot	idiot
idiotisme	idiom
idéal	ideal
idée	thought
idée	idea
igname	yam
il	he
il y a	ago
il y a	there is
il était une fois	once upon a time
ilménite	ilmenite
ils	they
image	picture
image	image
imbécile	fool
imiter	copy
immoral	wrong
immortalité	immortality
immortel	immortal
immédiat	immediate
immédiatement	immediately
impair	odd
imperméable	waterproof
implorer	beg
impoli	rude
importance	significance
important	important
importer	matter
impossible	impossible
imprimante	printer
imprimer	print
impropre	wrong
impératif	imperative
impérialisme	imperialism
impôt	tax
impôt sur le revenu	income tax
inanition	starvation
inattendu	surprise
incarcerer	incarcerate
incendie	fire
inclure	include
inconnu	unknown
inculpé	defendant
index	index
index	forefinger
indicatif d'appel	callsign
indien	Indian
indium	indium
indo-européen commun	Proto-Indo-European
indonésien	Indonesian
indépendance	independence
indépendant	independent
infarctus	infarct
infarctus du myocarde	heart attack
infertilité	infertility
infidèle	infidel
infirmière	sister
infirmière	nurse
inflation	inflation
inflexion	inflection
informatique	computer science
infraction	violation
ingénieur	engineer
injuste	unjust
innovation	innovation
inondation	flood
insecte	insect
insecte	bug
insignifiant	slight
insignifiant	insignificant
insouciant	carefree
instant	moment
instrument	instrument
instrumental	instrumental case
instrumental	instrumental
insurgé	insurgent
intelligence	intelligence
interdire	forbid
interdire	prohibit
interféron	interferon
interjection	interjection
international	international
interprète	interpreter
intersection	intersection
intestin	intestine
intimité	privacy
intéressant	interesting
intérêt	interest
inutile	unnecessary
inutile	useless
invention	invention
invisible	invisible
invité	guest
iode	iodine
iraquien	Iraqi
iridium	iridium
iris	iris
irlandais	Irish
irréel	unreal
islamique	Islamic
islandais	Icelandic
israélien	Israeli
italien	Italian
ivoire	ivory
ivraie enivrante	cockle
ivre	drunk
ivrogne	drunk
jamais	never
jambe	leg
jambon	ham
janvier	January
japonais	Japanese
jardin	garden
jardin public	garden
jarre	jar
jasmin	jasmine
jaune	yellow
jaune d'œuf	yolk
jaune d'œuf	egg yolk
jaunisse	jaundice
jazz	jazz
je	I
je le pense	I think so
je m'appelle	my name is
je ne comprends pas	I don't understand
je ne sais pas	I don't know
jean	jeans
jeter	throw
jetée	jetty
jetée	pier
jeu	game
jeu	play
jeu	set
jeu de puce	tiddlywinks
jeu vidéo	computer game
jeudi	Thursday
jeune	young
jeune	youth
jeune mariée	bride
jeunesse	youth
jeûne	fast
jeûner	fast
jihad	jihad
jiu-jitsu	judo
joie	joy
joli	pretty
jonquille	daffodil
joue	cheek
jouer	play
jouer	trumpet
jouet	toy
joug	yoke
joule	joule
jour de l'An	New Year's Day
journal	diary
journal	newspaper
journalisme	journalism
joyau	gem
joyeuses Pâques	Happy Easter
joyeux Noël	Merry Christmas
juge	judge
jugement	sentence
juger	judge
juif	Jewish
juif	Jew
juillet	July
juin	June
juive	Jewess
jumeau	twin
jumelles	binoculars
jument	mare
jungle	jungle
jupe	skirt
jurer	swear
juron	swear word
jus	juice
jusqu'ici	hitherto
jusqu'à	until
jusqu'à	till
juste	just
justification	vindication
kachoube	Kashubian
kalaallisut	Greenlandic
kangourou	kangaroo
khagan	khagan
kilogramme	kilogram
kilomètre	kilometre
kilomètre	kilometer
kiwi	kiwi fruit
klaxon	horn
klingon	Klingon
koala	koala
krypton	krypton
kryptonite	kryptonite
kurde	Kurdish
l'année	last year
l'avenir appartient à ceux qui se lèvent tôt	the early bird gets the worm
l'eau lourde	heavy water
l'île de Man	Isle of Man
la Flandre	Flanders
la République tchèque	Czech Republic
la Terre	Earth
la Voie lactée	Milky Way
la courante	shit
la crosse	lacrosse
la mort obstétrique	maternal death
la plupart	most
labourer	plough
labourer	plow
labourer	ear
labourer	till
labyrinthe	labyrinth
lac	lake
lahar	lahar
laid	ugly
laine	wool
laisse	leash
laisser	leave
lait	milk
laitière	milkmaid
laiton	brass
laitue	lettuce
lama	llama
lama	lama
lame	blade
lance-flamme	flamethrower
langage	language
langage de programmation	programming language
langue	language
langue	tongue
langue maternelle	mother tongue
langue naturelle	natural language
lanthane	lanthanum
laotien	Lao
laotien	Laotian
lapider	stone
lapin	rabbit
laque	lake
laque	lac
lardon	bacon
large	wide
larme	tear
larve	larva
larynx	larynx
laser	laser
latin	Latin
latin vulgaire	Vulgar Latin
laurier	laurel
lavabo	washbasin
lavande	lavender
lave-vaisselle	dishwasher
laver	wash
lawrencium	lawrencium
le	the
le	it
le Coran	Qur'an
le Graal	Holy Grail
le Saint-Marin	San Marino
le fr	Japan
le fr	mine
le fr	devil
le pire	worst
le sien	his
lent	slow
lente	nit
lentement	slowly
lentille	lens
lentille de contact	contact lens
lequel	which
les Chinois	Chinese
les Espagnol	Spanish
les Français	French
les Pays-Bas	Netherlands
les deux	both
les garçon	boy
les îles Féroé	Faroe Islands
lesbienne	lesbian
letton	Latvian
lettre	letter
leucémie	leukemia
leur	their
lever du soleil	dawn
lever du soleil	sunrise
levure	yeast
lexicographie	lexicography
lexème	lexeme
leçon	lesson
libellule	dragonfly
liberté	freedom
liberté	liberty
liberté d'expression	freedom of speech
librairie	bookshop
librairie	bookstore
libre	free
libérer	free
licencier	fire
lichen	lichen
licorne	unicorn
lie-de-vin	wine
lien	link
lier	tie
lierre	ivy
lieu	place
lieutenant	lieutenant
ligne	row
limace	slug
lime	file
lime	lime
limite	limit
lin	flax
lingot	ingot
linguiste	linguist
linguistique	linguistics
lion	lion
lionne	lioness
liqueur	liqueur
liquide	liquid
lire	read
lisible	legible
lisse	smooth
lit	bed
lithium	lithium
lithuanien	Lithuanian
litre	litre
littérature	literature
liturgie	liturgy
livonien	Livonian
livre	book
livre	pound
livre de classe	textbook
livre de cuisine	cookbook
lièvre	hare
locatif	locative case
locomotive	engine
locuste	locust
locution	phrase
logarithme	logarithm
logiciel	software
logique	logic
loi	law
loi	act
loi de Hubble	Hubble constant
lointain	far
loir	dormouse
lol, mdr	lol
londinien	London
long	long
longueur	length
lorsque	as
losange	rhombus
lotus	lotus
louche	ladle
louer	praise
louer	rent
loup	wolf
loup-garou	werewolf
lourd	heavy
loutre	otter
luciole	firefly
lui-même	himself
lumière	light
lundi	Monday
lune	Moon
lune	moon
lunettes	spectacles
lunettes de soleil	sunglasses
lustre	chandelier
lutte	struggle
lutte	fight
lutte	wrestling
lutécium	lutetium
lynx	lynx
lyre	lyre
lys	lily
là	there
lâcher	release
lâcheté	cowardice
lèvre	lip
lécher	lick
léger	light
légume	vegetable
lémur	lemur
léopard	leopard
léopard des neiges	snow leopard
lévitation	levitation
lézard	lizard
lœss	loess
l’Afrique	Africa
machette	machete
machine	machine
machine : fax	fax
machine à coudre	sewing machine
machine à vapeur	steam engine
machine à écrire	typewriter
machiniste	engineer
macédonien	Macedonian
mademoiselle	miss
magasin	magazine
magazine	magazine
mage	wizard
magenta	magenta
magnésium	magnesium
magnétique	magnetic
magnétisme	magnetism
magnétophone	tape recorder
maguier	mango
mai	May
maillon	link
maillot	swimsuit
main	hand
maintenant	now
maintenant	currently
maire	mayor
mais	but
maison	house
majeur	middle finger
majorité	majority
majuscule	capital
mal	evil
mal interpréter	misunderstand
malade	sick
maladie	illness
maladie	disease
maladie d'Alzheimer	Alzheimer's disease
maladie de parkinson	Parkinson's disease
malais	Malay
malayalam	Malayalam
malbouffe	junk food
malchance	misfortune
malgré	after
malgré	in spite of
malheureusement	unfortunately
malle	trunk
maman	mummy
maman	mum
mamelon	nipple
mammifère	mammal
mammouth	mammoth
manche	joystick
manche	sleeve
manchot	penguin
mandarin	Mandarin
mandarin	mandarin
mandarine	mandarin orange
mandarinier	mandarin orange
manganèse	manganese
manger	eat
mangouste	mongoose
mangue	mango
manioc	cassava
manière	way
manquer	miss
manteau	coat
manuel	manual
maquereau	mackerel
marais	marsh
marbre	marble
marche	march
marcher	walk
marcher	march
marcher	work
mardi	Tuesday
margrave	margrave
mari	husband
mariage	wedding
marionnette	puppet
mark	mark
mark convertible	convertible mark
marmotte	marmot
marque	mark
marque commerciale	trademark
marron	brown
marron pourpré	maroon
mars	March
marshallais	Marshallese
marsouin	porpoise
marsupial	marsupial
marte	marten
marteau	hammer
martin-pêcheur	kingfisher
martyr	martyr
marxisme	Marxism
marécage	swamp
maréchal-ferrant	blacksmith
marée	tide
masse	mace
massif	solid
match	match
matelas	mattress
matelot	sailor
matelot	hand
maternelle	kindergarten
mathématicien	mathematician
mathématiques	mathematics
matin	morning
matière	subject
matière	raw material
matière	matter
matou	tom
matrice	matrix
matériel	hardware
maudire	curse
mauvais	bad
mauvais	evil
mauvais sort	curse
mauvaise herbe	weed
maîtresse de maison	housewife
maïs	maize
maïs	corn
me	me
medécin	physician
meilleur	better
meitnérium	meitnerium
melanome	melanoma
melon	melon
membre	member
mendier	beg
mendélévium	mendelevium
mener	lead
menottes	handcuffs
mensonge	lie
menstruation	menstruation
mensuel	monthly
menteur	liar
menthe	mint
mentir	lie
menton	chin
menuet	minuet
menuisier	carpenter
mer	sea
mer Baltique	Baltic Sea
mer Ionienne	Ionian Sea
mer Jaune	Yellow Sea
mer Noire	Black Sea
mer Rouge	Red Sea
mer du Japon	Sea of Japan
merci	thank you
merci	thanks
merci beaucoup	many thanks
merci beaucoup	thank you very much
mercredi	Wednesday
mercure	mercury
merde	shit
merle	blackbird
merveille	wonder
merveilleux	wonderful
message	message
message subliminal	subliminal message
messager	messenger
messieurs	gentleman
mettre	zero
mettre	place
mettre	set
mettre en place de	substitute
meurtre	murder
meurtrier	murderer
miaou	meow
miauler	meow
micro onde	microwave oven
micro- (1,2)	micro-
midi	noon
miel	honey
mignon	cute
milan	kite
mile	mile
milieu	Template:center-centre-noun
mille	thousand
mille cent	eleven hundred
millet	millet
milliard	milliard
milliard	billion
milliardaire	billionaire
millimètre	millimetre
million	million
millionnaire	millionaire
milliseconde	millisecond
millénaire	millennium
minaret	minaret
mine	mine
minerai	ore
mineur	miner
ministre	minister
minuit	midnight
minuscule	minute
minute	minute
minéralogie	mineralogy
mirage	mirage
mirandais	Mirandese
mire	sight
mission	mission
mite	moth
mitochondrie	mitochondrion
mitrailleuse	machine gun
mobile	mobile
mobile	cell phone
mobilier	furniture
mode	mood
moderne	modern
modifier	edit
module de Young	Young's modulus
module de balayage	scanner
modèle	style
modèle	model
moelle	marrow
moelle épinière	spinal cord
moi	ego
moi	me too
moi, je vais bien, merci	I'm fine, thank you
moi-même	myself
moineau	sparrow
moins	minus
moins	fewer
mois	month
moisi	mould
moitié	half
molaire	molar
mollet	calf
mollusque	mollusc
molybdène	molybdenum
molécule	molecule
momie	mummy
mon	my
mon Dieu	oh my God
monarchie	monarchy
monastère	monastery
monceau	pile
mondialisation	globalisation
mongol	Mongolian
monnaie	coin
monnaie	currency
monnaie	change
monocycle	unicycle
monopole	monopoly
monothéisme	monotheism
monsieur	mister
monstre	monster
mont Everest	Mount Everest
montagne	mountain
monter	ride
monter	ascend
montgolfière	balloon
montre	watch
montrer	show
moralité	morality
morceau	piece
mordre	bite
morphème	morpheme
morse	walrus
mort	death
mort	dead
mort-né	stillborn
mortel	mortal
mortier	mortar
mortinaissance	stillbirth
morue	cod
morve	snot
mosquée	mosque
mot	word
moteur	motor
moteur	engine
moteur de recherche	search engine
moteur à combustion interne	internal combustion engine
motif	motive
motiver	motivate
moto	motorcycle
moto	bike
mots	Wiktionary:Votes/2007-10/Lemma entries/words
mots croisés	crossword
mou	soft
mouche	fly
moucheron	gnat
mouchoir	handkerchief
moudre	grind
mouette	seagull
mouette rieuse	black-headed gull
moufette	skunk
mouflon	mouflon
mouiller	wet
mouillé	wet
moule	mussel
moulin	mill
mourir	die
mousse	moss
mousse	froth
mousse de savon	lather
mousson	monsoon
moustache	moustache
moustache	mustache
moustique	mosquito
moutarde	mustard
mouton	sheep
mouvement	motion
moyen	mean
moyenne	average
moyenne	mean
muay thaï	Muay Thai
muet	dumb
mug	mug
muguet	lily of the valley
mule	mule
multilinguisme	multilingualism
multiplication	multiplication
multiplier	multiply
multivers	multiverse
mur	wall
murs	wall
musaraigne	shrew
muscle	muscle
musicien	musician
musique	music
musulman	Muslim
musée	museum
mutuel	mutual
myrrhe	myrrh
myrtille	blueberry
mystère	mystery
mystère	puzzle
mystérieux	mysterious
mythe	myth
mythologie	mythology
mâcher	chew
mâle	male
mâle	bull
mâle	cock
mât	mast
mère	mother
mètre	meter
mètre	metre
mécanicien	mechanic
méchant	naughty
méchant	wicked
médaille	medal
médecin	doctor
médecine	medicine
médicament	medicine
médiocre	mediocre
méditation	meditation
méduse	jellyfish
mélancolie	melancholy
mélancolique	melancholy
mélanger	mix
mélasse	molasses
mélasse	treacle
mélodie	melody
mélèze	larch
mémoire	memory
mépris	contempt
méridional	southern
mésange	great tit
mésange bleue	blue tit
mésencéphale	midbrain
mésolithique	Mesolithic
métal	metal
métallurgie	metallurgy
métaphore	metaphor
métastase	metastasis
méthanal	formaldehyde
méthode	method
métro	subway
métro	metro
métrosexuel	metrosexual
même	even
même	same
mûr	ripe
mûr	mature
mûre	mulberry
mûre	blackberry
mûrier	mulberry
n'importe quel	any
nager	swim
nahuatl	Nahuatl
nain	dwarf
naine blanche	white dwarf
naine brune	brown dwarf
naissance	birth
naja	cobra
nana	chick
narine	nostril
narval	narwhal
natif	native
nation	nation
national	national
nationalisme	nationalism
nationalité	nationality
nature	nature
naturel	natural
nausée	nausea
navet	turnip
navette spatiale	Space Shuttle
navigation	sailing
naviger à voile	sail
naître	spring
ne	not
ne	nothing
ne-m’oubliez-pas	forget-me-not
neige	snow
neiger	snow
neptunium	neptunium
nerveux	nervous
net	neat
nettoyage ethnique	ethnic cleansing
neuf	nine
neutre	neutral
neutrino	neutrino
neutron	neutron
neuvième	ninth
neveu	nephew
neveu fraternel	nephew
neveu sororel	nephew
nez	nose
nichon	tit
nickel	nickel
nid	nest
ninja	ninja
niobium	niobium
nièce	niece
nièce fraternelle	niece
nièce sororelle	niece
nobélium	nobelium
nocturne	nocturnal
noir	black
noir	dark
noisetier	hazel
noisette	hazelnut
noisette	hazel
noix	walnut
nom	name
nom	noun
nom de famille	surname
nom de guerre	pseudonym
nom propre	proper noun
nombre	number
nombre	score
nombre cardinal	cardinal number
nombre complexe	complex number
nombre imaginaire pur	imaginary number
nombre premier	prime number
nombreux	numerous
nominatif	nominative case
nominatif	nominative
nommer	name
non	no
nonne	nun
nord	north
nord-est	northeast
nord-ouest	northwest
normal	normal
norvégien	Norwegian
notation hongroise	Hungarian notation
note	note
notifier	notify
notre	our
nouille	noodle
nourrice	nurse
nourrir	feed
nourriture	food
nous	we
nous-mêmes	ourselves
nouveau	new
nouveauté	novelty
nouvel an	New Year
nouvelles	news
novembre	November
noyau atomique	atomic nucleus
noyer	walnut
nu	naked
nu	nude
nuage	cloud
nudité	nudity
nuit	night
nulle part	nowhere
numéro	number
numéro atomique	atomic number
numéro téléphonique	telephone number
numéroter	number
nº	no.
né	born
néanmoins	nevertheless
néanmoins	though
nébuleuse	nebula
nécessaire	necessary
nécrophilie	necrophilia
néerlandais	Dutch
néerlandais	Netherlands
négatif	negative
négligence	neglect
négociation	negotiation
nénètse	Nenets
néodyme	neodymium
néon	neon
nœud papillon	bowtie
oase	oasis
objectif	goal
objectif	objective
objection	objection
objet	object
objet volant non-identifié	unidentified flying object
obligatoire	mandatory
obscur	obscure
obscure	dark
obscurité	darkness
observatoire	observatory
observer	observe
obsession	obsession
obstacle	obstacle
obtenir	obtain
obtenir	get
obèse	obese
obéissance	obedience
occasion	opportunity
occasionale	occasional
occasionnellement	occasionally
occidental	west
occitan	Occitan
occupation	occupation
octet	byte
octobre	October
octogone	octagon
océan	ocean
océan Arctique	Arctic Ocean
océan Atlantique	Atlantic Ocean
océan Indien	Indian Ocean
océan Pacifique	Pacific Ocean
odeur	odour
odeur	scent
odorat	smell
oeillet	carnation
oesophage	gullet
officier	officer
offrir	offer
ohm	ohm
oie	goose
oie cendrée	greylag goose
oignon	onion
oiseau	bird
oiseau aquatique	waterfowl
oisif	idle
oisillon	chick
olive	olive
olivier	olive tree
ombilic	navel
ombre	shadow
ombre	shade
omelette	omelette
omission	omission
on	they
on	one
on	you
once	ounce
oncle	uncle
ongle	nail
onomatopée	onomatopoeia
onyx	onyx
onze	eleven
onzième	eleventh
opposé	opposite
opprimer	oppress
opération	operation
opérer	operate
or	gold
or	or
oral	oral
orange	orange
oranger	orange
orbite	orbit
orchestre	orchestra
orchidée	orchid
ordinaire	ordinary
ordinateur	computer
ordonnance	prescription
ordre	order
ordures	garbage
oreille	ear
oreiller	pillow
oreillons	mumps
organe	organ
organisation	organization
organisme	organism
orgasme	orgasm
orge	barley
orgue	organ
oriental	east
orientation sexuelle	sexual orientation
original	original
origine	origin
orme	elm
orme de Sibérie	zelkova
ornement	ornament
ornithorynque	platypus
orphelin	orphan
ortie	nettle
oryctérope	aardvark
os	bone
oser	dare
osmium	osmium
otarie	sea lion
ou	or
ouais	yeah
oubli	oblivion
oubliette	dungeon
ouest	west
oui	yes
ouragan	hurricane
ourdou	Urdu
ours	bear
ours blanc	polar bear
ours panda	panda
outarde	bustard
outil	tool
outrepasser	break
ouvert	open
ouvrir	open
oxyde de carbone	carbon monoxide
oxygène	oxygen
oxymore	oxymoron
où	where
où sont les toilettes	where is the toilet
pacha	pasha
page	page
page	side
paiement	payment
paille	straw
paille	drinking straw
pain	bread
pair	even
paire	pair
paix	peace
palais	palace
palais	palate
palet	puck
palimpseste	palimpsest
palindrome	palindrome
palladium	palladium
palmier	palm
paludisme	malaria
pamplemousse	grapefruit
pancréas	pancreas
pandéisme	pandeism
panenthéisme	panentheism
panier	basket
pansement	band-aid
pantalon	pants
pantalon	trousers
panthéisme	pantheism
paon	peacock
papa	daddy
papamobile	Popemobile
pape	pope
papier	paper
papier de toilette	toilet paper
papier de verre	sandpaper
papier journal	newspaper
papier peint	wallpaper
papillon	butterfly
paquet	package
par ex.	e.g.
par exemple	for example
par ici	here
parabole	parabola
parachute	parachute
parade	parade
paradis	paradise
paradoxe	paradox
parallèle	parallel
paralysie	paralysis
parapente	paragliding
parapluie	umbrella
parc	park
parce que	because
parce que	for
pardon	excuse me
parent	relative
parent	family
parents	parents
parenté	kinship
paresse	sloth
paresseux	lazy
paresseux	sloth
parfait	perfect
parfois	sometimes
parfum	perfume
parfumer	perfume
parier	bet
parlement	parliament
parler	speak
parler	talk
parleur	speaker
parlez-vous anglais	do you speak English
parmi	among
parole	word
part	share
part	portion
parti	party
participant	participant
participe	participle
participe passé	past participle
participer	participate
participer	partake
partie	part
partie	subset
partie du discours	part of speech
partir	leave
partout	everywhere
pas	no
pas	step
passager	passenger
passe-temps	hobby
passeport	passport
passer	spend
passé	past
passé	past tense
pastèque	watermelon
pat	stalemate
patient	patient
patin	french kiss
patinage artistique	figure skating
patrie	homeland
patrie	home
patrie	fatherland
patron	boss
patte	paw
patte	foot
paume	palm
paupière	eyelid
pause	pause
pause	break
pauvre	poor
pauvreté	poverty
pavillon	flag
pavot	poppy
payer	pay
payer	foot
pays	country
peau	skin
peigne	comb
peindre	paint
peine	sorrow
peine	sentence
peine	trouble
peine	penalty
peintre	painter
peinture	paint
pelle	shovel
pelouse	grass
pelure	peel
pendant que	while
penjabi	Punjabi
penny	penny
penser	think
pensée	thought
pentagone	pentagon
perche	pole
perche	perch
perdre	lose
perdrix	partridge
perestroïka	perestroika
permission	permission
perpendiculaire	perpendicular
perroquet	parrot
perruque	wig
persil	parsley
persister	persist
personnage	character
personnage	figure
personnalité	personality
personne	person
personne	nobody
personne	no one
personne	none
personnel	personal
persuader	persuade
persévérance	perseverance
peste noire	Black Death
pet	fart
petit	small
petit	little
petit	cub
petit ami	friend
petit ami	boyfriend
petit doigt	little finger
petit déjeuner	breakfast
petit morceau	bit
petit-enfant	grandchild
petit-fils	grandson
petite amie	girlfriend
petite-fille	granddaughter
peu	few
peu	green
peu coûteux	inexpensive
peu de	little
peu profond	shallow
peuple	people
peuplier	poplar
peur	fear
peut-être	maybe
peut-être	perhaps
peut-être	may
phacochère	warthog
pharaon	pharaoh
phare	lighthouse
pharmacie	pharmacy
pharmacie	apothecary
pharmacien	apothecary
pharynx	pharynx
philosophe	philosopher
philosophie	philosophy
phobie	phobia
phonème	phoneme
phoque	seal
phosphore	phosphorus
photo	picture
photographie	photograph
photographier	photograph
photon	photon
photosynthèse	photosynthesis
phrase	sentence
physiologie	physiology
physique	physical
phénix	phoenix
pi	pi
pianiste	pianist
piano	piano
pic	woodpecker
pic noir	black woodpecker
pic vert	green woodpecker
pic épeiche	great spotted woodpecker
pic épeichette	lesser spotted woodpecker
pie	magpie
pied	foot
pied-de-biche	crowbar
pieds nus	barefoot
pierre	stone
pierre philosophale	philosopher's stone
pieu	stake
pieuvre	octopus
pigeon	pigeon
pigeon biset	rock dove
pigment	pigment
pile	battery
pilier	pillar
pilote	pilot
pilote	driver
pilule	pill
pin	pine
pinces	pliers
pinces	tongs
ping-pong	ping pong
pinson	finch
pintade	guinea fowl
pion	pawn
pion	man
pipe	blowjob
pipe	pipe
pique	spade
pique	spades
piranha	piranha
pirate	pirate
pire	worse
pis	udder
piscine	swimming pool
pisse	piss
pissenlit	dandelion
pisser	piss
pistolet	pistol
pistolet	gun
pitoyable	poor
pixel	pixel
pièce	room
pièce	play
piètre	poor
piéton	pedestrian
place	square
place	place
plafond	ceiling
plage	beach
plage	sand
plain	flat
plaire	please
plaisanter	joke
plaisanterie	joke
plaisir	pleasure
plan	plane
plan	plan
planer	high
planning	schedule
plante	plant
planter	plant
planète	planet
planète X	Planet X
planète naine	dwarf planet
plastique	plastic
plat	dish
plate-forme	platform
platine	platinum
plein	full
pleine lune	full moon
pleurer	cry
pleurer	weep
pleuvoir	rain
pleuvoir des cordes	rain cats and dogs
plier	fold
plomb	lead
plomb	lead/experiment2
plomb	lead/experiment
plombier	plumber
plongeon huard	great northern diver
pluie	rain
pluie acide	acid rain
plume	feather
plume	pen
pluriel	plural
plus	plus
plusieurs	several
plutonium	plutonium
pneu	tire
pneu	tyre
poche	pocket
poche	pouch
poids	weight
poignard	dagger
poignet	wrist
poil	hair
poilu	hairy
poing	fist
point	period
point	dot
point	point
point	fulcrum
point d'interrogation	question mark
point d'orgue	fermata
point de vue	angle
poire	pear
poireau	leek
poirier	pear
pois	pea
pois chiche	chickpea
poison	poison
poisoneux	poisonous
poisson	fish
poisson-chat	catfish
poitrine	chest
poitrine	breast
poivre	pepper
poix	pitch
poli	polite
police	police
policier	police officer
polir	polish
politicien	politician
politique	politics
politique	policy
pollen	pollen
pollution	pollution
polonais	Polish
polonais	Pole
polonium	polonium
polyamour	polyamory
polygone	polygon
polysynthétique	polysynthetic
polythéisme	polytheism
pomme	apple
pomme d'Adam	Adam's apple
pomme de terre	potato
pommier	apple tree
pommier	apple
pompe	pump
pompier	firefighter
pompier	fireman
pont	bridge
popcorn	popcorn
populaire	popular
population	population
porc	pork
porc-épic	porcupine
porcelaine	porcelain
porcherie	pigsty
pornographie	pornography
port	port
port	harbour
port, quai	harbor
porte	door
porte-avions	aircraft carrier
portefeuille	wallet
portemanteau	portmanteau
porter	carry
porter	bear
porter	wear
portugais	Portuguese
positif	positive
position	position
possessif	possessive case
possessif	possessive
possibilité	possibility
possible	possible
posséder	own
posséder	possess
poste	post office
pot	pot
pot de fleurs	flowerpot
pot-de-vin	bribe
potable	potable
potage	soup
potassium	potassium
potier	potter
pou	louse
pouce	thumb
pouce	inch
pouce	big toe
poudre	powder
poulain	foal
poulain	colt
poule	chicken
poule	hen
poule	bird
poule mouillée	chicken
poulet	chicken
pouls	pulse
poumon	lung
poupe	stern
poupée	doll
pour	for
pour cent	percent
pourboire	tip
pourpre	purpure
pourquoi	why
pourquoi	wherefore
pourrir	decay
pourrir	rot
poursuite	chase
poursuivre	chase
poursuivre	pursue
pourvoir	provide
pousser	push
poussin	chick
poussière	dust
poutre	beam
pouvoir	can
pouvoir	may
poème	poem
poésie	poetry
poêle	fire
poêle	stove
pragmatique	pragmatic
pratique	practice
premier	first
premier	prime
premier ministre	prime minister
prendre	take
prendre de la valeur	appreciate
prendre le petit-déjeuner	breakfast
prendre sur soi	accept
presque	almost
presque	nearly
presser	press
pression	pressure
preuve	proof
prier	pray
primitif	primitive
princesse	princess
principal	principal
principal	main
principal	primary
principe	principle
printemps	spring
prison	prison
prisonnier de guerre	prisoner of war
privilège	privilege
privé	private
prix	price
prix	prize
prix	fare
proactif	proactive
probablement	probably
problème	problem
prochain	next
proche	close
proche	next
proche	about
procès-verbal	minute
procédure	procedure
produire	produce
produit	product
produit intérieur brut	gross domestic product
professeur	teacher
professeur	professor
profession	profession
profondeur	depth
programme	Template:program-programme-noun
progrès	progress
projectile	missile
projet	project
projeter	plan
prolétaires de tous les pays, unissez-vous	workers of the world, unite
promenade	walk
promettre	promise
promouvoir	promote
prométhium	promethium
pronom	pronoun
pronom personnel	personal pronoun
pronom possessif	possessive pronoun
prononcer	pronounce
prononciation	pronunciation
propagande	propaganda
proposer	suggest
proposer	propose
propre	own
propriété	property
prose	prose
prostitué	prostitute
protection	protection
protestant	Protestant
protester	protest
prothèse	prosthesis
proto-germanique	Proto-Germanic
proton	proton
prototype	prototype
protéger	shield
protéger	protect
prouver	prove
proverbe	proverb
proverbe	saying
province	province
proéminent	prominent
prune	plum
prunier	plum
près	near
pré	meadow
préalable	previous
précieux	valuable
précieux	precious
précis	precise
précis	accurate
préciser	name
prédicat	predicate
prédire	predict
préfixe	prefix
préférer	prefer
prénom	first name
prénom	given name
préparer	prepare
préposition	preposition
prépuce	prepuce
présence	presence
présent	gift
présent	present
présenter	present
préservatif	condom
président	president
prévoir	foresee
prévoir	forecast
prêt	ready
prêter	lend
prêtre	priest
psychiatriste	psychiatrist
psychologie	psychology
psychologue	psychologist
psychopolitique	psychopolitics
puanteur	stink
public	public
publicité	advertisement
publier	publish
puce	flea
puis	then
puisque	as
puisque	since
puissance	power
puits	well
punaise des lits	bedbug
punir	punish
punir	sentence
punition capitale	capital punishment
pur	pure
purulent	pussy
putain	whore
putain	fuck
putois	polecat
pyjama	pajamas
pyjama	pyjamas
pylône	pylon
pyramide	pyramid
pyramide de Khéops	Great Pyramid of Giza
python	python
pâle	pale
pâte	dough
pâtes	pasta
père	father
péage	toll
pécher	sin
péché	sin
pédé	faggot
pédé	fruit
pédéraste	pederast
pédérastie	pederasty
péjoratif	pejorative
pélican	pelican
péninsule	peninsula
pénis	penis
pénombre	twilight
pénétrer	penetrate
périnée	perineum
période	period
péter	fart
pétrole	petroleum
pétrole brute	crude oil
pêche	peach
pêche	fishing
pêcher	peach
pêcheur	fisher
pôle	pole
quadrilatère	quadrilateral
quai	wharf
quai	platform
quai	quay
qualité	quality
quand	when
quand	as
quand le chat n'est pas là, les souris dansent	when the cat's away the mice will play
quand les poules auront des dents	when pigs fly
