# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
Meinungsfreiheit ; Redefreiheit ; Redefreiheit	freedom of speech ; freedom of speech
Meinungsumfrage	opinion survey
Meitnerium	meitnerium
Mekka	Mecca
Meldeverfahren	reporting process
Meldung	notification
Melodie	melody ; tune
Membran	membrane
Mendelevium	mendelevium
Meningitis ; Hirnhautentzündung	meningitis
Menora	menorah
Mensch	man
Mensch ; Person	person
Menschenrecht	human rights
Merkmal ; Zug	characteristic
Merkur	Mercury
Messer	knife
Messprogramm	measuring programme
Messstellennetz	monitoring network
Messung	measuring
Metainformation	metainformation
Metall	metal
Metalloxid	metal oxide
Metallurgie	metallurgy
Metallwaren	metal product
Metallwarenindustrie	metal products industry
Metapher	metaphor
Metaphysik	metaphysics
Meteor ; Meteor ; Meteor ; Meteor ; Meteor ; Sternschnuppe	meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star
Meteorit	meteorite
Meteorologie	meteorology
Methan	methane ; marsh gas ; methyl hydride
Methanisierung	methanisation
Methanol	methanol
Methode	method
Methodik	methodology
Metrologie	metrology
Metronom	metronome
Metropole	metropolis
Mexiko	Mexico ; United Mexican States
Meßdaten	monitoring data
Meßgeräte ; Überwachungsausrüstung	monitoring equipment
Meßinstrument ; Messinstrument	measuring instrument
Meßmethode	measuring method
Meßstelle	monitoring station
Meßtechnik	monitoring technique
Mietvertrag	lease
Mikrobiologie	microbiology
Mikrocomputer	microcomputer
Mikroelektronik	microelectronics ; microminiaturization ; microsystem electronics
Mikrofiltration	microfiltration
Mikrofon ; Mikrophon	microphone
Mikroklima	microclimate
Mikroklimatologie	microclimatology
Mikronesien ; Föderierte Staaten von Mikronesien	Micronesia ; Federated States of Micronesia
Mikroorganismen	micro-organism
Mikroskopie	microscopy
Mikrowellen	microwave
Milbe	mite
Milch	milk
Milchstraße ; Galaxis	Milky Way ; Galaxy
Milchviehhaltung	dairy farm
Milchwirtschaft	dairy industry
Militär	armed forces
Militär und Umwelt ; militärische Aspekte	military aspects
Militärgebiet	military zone
Militärluftfahrt	military air traffic
Milwaukee	Milwaukee
Milz	spleen
Minderheit	minority
Minderjährige	minor
Mineral	mineral
Mineraldünger	inorganic fertiliser
Mineralfaser	mineral fibre
Mineralienabbau	mineral extraction
Mineralisation	mineralisation
Minerallagerstätte	mineral deposit
Mineralogie	mineralogy
Mineralstoff	mineral matter
Mineralstoffabfall	mineral waste
Mineralstoffindustrie	mineral industry
Mineralwasser	mineral water
Mineralöl	mineral oil
Minimalkostenplanung	minimal cost planning
Minirock	miniskirt ; mini-skirt
Ministerialerlaß	ministerial decree
Ministerium	ministry
Ministerium ; Ministeriumsgebäude	ministry ; ministry building
Ministerkompetenz	minister competence
Minute	minute
Mischbarkeit	miscibility
Mischen	mixing
Mischkanalisation	combined sewer system
Mischprodukt	miscellaneous product
Mischwald ; Mischwald	mixed forest
Mischwasser	combined waste water
Missbildung	malformation
Mistral	mistral
Mitleid ; Erbarmen	pity ; compassion
Mitose	mitosis
Mittagessen ; Mittagessen ; Mittagessen ; Mittagessen ; Mittagessen ; Lunch ; Lunch ; Lunch ; Lunch ; Lunch	lunch ; lunch ; lunch ; lunch ; luncheon
Mitteilungsblatt	newsletter
Mittelmeer ; Europäisches Mittelmeer ; Mittelländisches Meer	Mediterranean Sea
Mittelmeerraum	Mediterranean Area
Mittelwald	coppice with standards
Mittwoch	Wednesday ; quarta-feira
Mitverbrennung	co-incineration
Modell	model
Modellieren	modelling
Modellökosystem	microecosystem
Moldau ; Moldawien	Moldova
Molekularbiologie	molecular biology
Molke	whey
Molkereiprodukt	dairy product
Mollusken ; Weichtier	mollusc
Molybdän	molybdenum
Monaco	Monaco
Monat	month
Mond ; Mond ; Trabant ; Trabant	moon ; moon ; satelite ; satelite
Mongolei	Mongolia
Monitoring ; Überwachung	monitoring
Monopol	monopoly
Montag	Monday
Montenegro	Montenegro
Montserrat	Montserrat
Moor	bog
Moos	moss
Morgen ; morgen	tomorrow
Morphin	morphine
Morphologie	morphology
Mosaik	mosaic
Mosambik	Mozambique
Moschee	mosque
Moskau	Moscow
Motette	motet
Motor	engine
Mulch	mulch
Multimediatechnologie	multimedia technology
Multispektralscanner	multispectral scanner
Mumbai ; Bombay	Mumbai ; Bombay
Mumps ; Ziegenpeter	mumps
Mund ; Mund ; Maul ; Schnauze	beak ; mouth
Muschelzucht	mussel farming
Museum	museum
Musical	musical
Musik	music
Musiker ; Musikant ; Spielmann	musician
Muskelsystem	muscular system
Mustererkennung	pattern recognition
Mutagenität	mutagenicity
Mutagenitätsprüfung	mutagenicity testing
Mutante	mutant
Mutation	mutation
Mutter ; Mama	mother
Muttermilch	breast milk
Mutterschaft	motherhood ; maternity
Myanmar ; Birma	Myanmar
Mykologie	mycology
Mykorrhiza	mycorrhiza
Mythos	myth
Myzeten ; Pilze	mycete
Mädchen	girl
März	March
Möbel	furniture
Möbelindustrie	furniture industry
Möwe ; Möve	gull
Mücke ; Stechmücke	musquito ; mosquito
Mühle	mill
Müll-Klärschlamm-Kompost	refuse-sludge compost
Müllsammelfahrzeug	refuse collection vehicle
München	Munich
NE-Metall	non-ferrous metal
NE-Metallindustrie	non-ferrous metal industry
NOEL	NOEL
Nachbar ; Nachbar ; Nachbarin	neighbour ; vecino
Nachbarschaftslärm	neighbourhood noise
Nachbarschutz	protection from neighbours
Nachbehandlung	post-treatment
Nachfrage	demand
Nachhaltigkeitsprinzip	principle of sustainability
Nachlass ; Discount	discount
Nachrichtengruppe	newsgroup
Nachverbrennung	afterburning ; afterburning ; afterburner
Nachweis ; Ermittlung	detection
Nachweisbarkeit	demonstrability
Nachwelt	posterity
Nacktsamer	gymnosperm
Nadelbaum	conifer
Nadelbaum	coniferous tree
Nadelwald	coniferous forest
Nadir	nadir
Nagetier	rodent
Naherholung	local recreation
Nahrungskette	food chain
Nahrungsmittelbedarf	food requirement
Nahrungsmittelgewerbe	food commerce
Nahverkehr	local traffic
Nahwärmeversorgung	local heat supply
Nairobi	Nairobi
Name ; Eigenname	name ; proper name ; proper noun
Namibia	Namibia
Nase	nose
Nasenloch ; Nüster	nostril
Nashorn ; Rhinozeros	rhino ; rhinoceros
Nationalpark	national park
Natrium	sodium
Naturdenkmal	natural monument
Naturdünger	natural fertiliser
Naturerbe	natural heritage
Naturfaser	natural fibre
Naturgebiet	natural area
Naturgebietschutz	natural areas protection
Naturgefahr	natural hazard
Naturgefühl	feeling for nature
Naturkatastrophe	natural disaster
Naturpark	natural park
Naturpflege	management of natural resources
Naturrisiko	natural risk
Naturrisikoanalyse	natural risk analysis
Naturrisikoverhütung	natural risks prevention
Naturschutz	nature conservation
Naturschutz	nature protection
Naturschutzgebiet	nature reserve
Naturschutzorganisation	nature conservation organisation
Naturschutzpolitik	conservation policy
Naturschutzprogramm	nature conservation programme
Naturschutzrecht	nature conservation legislation
Naturstein	natural stone
Naturstoffe ; Naturstoff	natural material
Naturwald	natural forest
Naturwissenschaft	natural science
Naturwissenschaft	physical science
Natürliche Pflanzen- und Tierwelt	wildlife ; 野生生物
Nauru	Nauru ; Republic of Nauru
Navigationsgefahr	navigational hazard
Neapel	Naples
Neapolitanisch	Neapolitan ; Neapolitan
Nebel	fog
Nebel	mist
Nebenprodukt	by-product
Nebenwirkung	side effect
Nekrose	necrosis
Nematoden	nematode
Neodym	neodymium
Neologismus	neologism
Neon	neon
Nepal	Nepal
Nepali ; Nepalesisch	Nepali ; Nepali
Nepotismus ; Vetternwirtschaft ; Günstlingswirtschaft	nepotism
Neptun	Neptune
Neptunium	neptunium
Nervensystem	nervous system
Netting Policy	netting policy (emissions trading) ; netting policy
Neuanlage	new installation
Neujahr ; Neujahrstag	New Year ; New Year's Day
Neukaledonien	New Caledonia
Neurologie	neurology
Neurotoxizität	neurotoxicity
Neuseeland	New Zealand
Neutralisierung	neutralisation
New York	New York
Nicaragua	Nicaragua
Nicht-Zielorganismen	non-target organism
Nichtmetall	non-metal
Nichtregierungsorganisation	non-governmental organisation
Nichtwohngebäude	non-residential building
Nickel	nickel
Niederländisch	Dutch
Niedermoor	fen
Niedersachsen	Lower Saxony
Niederschlag	atmospheric precipitation ; precipitation
Niederschlagserhöhung ; Niederschlagszunahme	precipitation enhancement
Niederschlagswasser ; Regenwasser	rain water
Niederwald	coppice
Niedrigwasserabfluß	low flow
Niere	kidney
Niger	Niger
Nigeria	Nigeria
Niob	niobium
Nisten	nesting
Nistgebiet	nesting area
Nitrat	nitrate
Nitrifikation	nitrification
Nitrosamin	nitrosamine
Niue	Niue
Nobelium	nobelium
Nofallplan	emergency plan
Nomade	nomad
Nomenklatur	nomenclature
Nord-Süd-Beziehung	North-South relationship
Nordafrika	North Africa
Nordamerika	North America
Nordatlantik ; Nordatlantischer Ozean	North Atlantic Ocean
Nordirland	Northern Ireland
Nordkorea	North Korea ; Democratic People's Republic of Korea
Norm	norm
Norwegen	Norway ; Kingdom of Norway
Norwegisch	Norwegian
Note	note
Notfall	emergency
Nothilfe	emergency relief
Notstandsrecht	emergency law
Notunterkunft	emergency shelter
November	November
Novial	Novial
Nukleinsäure	nucleic acid
Null	zero ; null
Nussknacker	nutcracker
Nutzfahrzeug	commercial vehicle
Nutzpflanze	cash crop
Nutzpflanzenproduktion	crop production
Nutzung der landwirtschaftlichen Fläche	cultivation of agricultural land
Nutzungskonflikt	conflicting use
Nutzwald	timber forest
Nuuk	Nuuk
Nynorsk ; Neunorwegisch	Nynorsk
Nährboden	bacterial bed
Nährmedium	nutrient medium
Nährstoff	nutrient
Nährstoffelimination	nutrient removal
Nährstoffgehalt	nutrient content
Nährstoffhaushalt	nutrient balance
Nährstoffzyklus	nutrient cycle
Nährwert	nutritive value of food
Nützling	beneficial organism
O-Bus ; Oberleitungsbus ; Obus ; Trolleybus	trolley bus ; trolleybus
Ober ; Kellner	waiter
Oberflächenspannung	surface tension
Obstbau	fruit cultivation
Obstbaum	fruit tree
Ofen	oven
Ofen	stove
Off-Site	off-site
Offset Policy	offset policy (emissions trading)
Offshore-Erdölbohrung	offshore mining
Ohm	ohm
Ohr	ear
Ohrwürmer ; Ohrwurm ; Ohrenzwicker	earwig
Oklahoma	Oklahoma
Oktave	octave
Oktober	October
Oligarchie	oligarchy
Oligopol	oligopoly
Olive	olive
Oman	Oman ; Sultanate of Oman
Omega	omega
Onkologie	oncology
Online-Dienst	on-line service
Ontogenese ; Ontogenese	ontogenesis ; ontogenesis ; ontogeny
Ontologie	ontology
Oper	opera
Operette	operetta
Opfer	sacrifice
Opium	opium
Optik	optics
Optimismus ; Optimismus ; Optimismus	optimism ; optimism ; optimism ; optimism ; optimism ; optimism ; optimism
Oralverkehr ; Oralsex	oral sex
Orchester	orchestra
Orchidee	orchid
Ordnung	order
Ordnung ; Anordnung	order
Ordnungsrecht	regulative law
Ordnungswidrigkeit ; Tat ; Verbrechen ; Vergehen	act ; deed
Organ	organ
Organ der Rechtspflege ; juristische Berufe	legal profession
Organell	organelle
Organisation ; organisation	organisation (law)
Organisation des Rechtssystems	organisation of the legal system
Organisation des Unterrichtswesens	organisation of teaching
Organismus	organism
Orléans	Orleans
Ornithologie ; Vogelkunde	ornithology
Orographie	orography
Orthographie ; Rechtschreibung	orthography
Orthopteren	orthopteran
Oslo	Oslo
Osmium	osmium
Osmose	osmosis
Ost-West-Beziehung	East-West relations
Ost-West-Handel	East-West trade
Ostafrika	East Africa
Ostasien	Eastern Asia ; East Asia
Ostern ; Osterfest	Easter
Osteuropa	Eastern Europe
Osttimor	East Timor ; Democratic Republic of Timor-Leste
Ottomotor	gasoline engine
Ovine	ovine
Oxid	oxide
Oxidation	oxidation
Oxidationsmittel	oxidising agent
Ozean	ocean ; sea ; body of water ; bounding main
Ozean-Luft Schnitstelle	ocean-air interface
Ozeanien	Oceania
Ozeanographie	oceanography
Ozon	ozone
Ozonabbaupotential	ozone depletion potential
Ozonierung	ozonisation
Ozonschicht	ozone layer
Packeis	ice pack
Pakistan	Pakistan ; Islamic Republic of Pakistan
Palau	Palau
Palindrom	palindrome
Palladium	palladium
Palme	palm
Paläoklimatologie	palaeoclimatology
Paläontologie	palaeontology
Paläökologie	palaeoecology
Panama	Panama
Pandemie	pandemic
Pankreas ; Bauchspeicheldrüse	pancreas
Papa ; Vater	father
Papagei	parrot
Papier	paper
Papierindustrie	paper industry
Papst	pope
Papua-Neuguinea	Papua New Guinea
Parabel	parabola
Paradiesvogel	Apus
Paraguay	Paraguay
Parasit ; Schmarotzer	parasite
Parazitologie ; Parasitologie	parasitology
Paris	Paris
Parkmöglichkeit	parking provision
Parkplatz	car park
Parkrandgebiet	peripheral park area
Parlament	Parliament
Partikel ; Teilchen	particle
Partikelabscheider	particle separator
Partizipation	participation
Pastenartiger Abfall	paste-like waste
Patent	patent
Pathologie	pathology
Pavian	baboon
Pazifischer Ozean ; Stiller Ozean ; Großer Ozean ; Pazifik	Pacific Ocean
Pazifist	pacifist
Pedosphäre	pedosphere
Peking	Beijing
Pelz	fur
Pelztier	fur animal
Pendelverkehr	commuter traffic
Pentachlorphenol	pentachlorophenol
Periodensystem	periodic table
Permeabilität	permeability
Peroxiacetylnitrat	peroxyacetylnitrate
Persisch	Persian ; Western Farsi ; Farsi
Persistenz	persistence
Personenkraftwagen ; Privatauto	private car
Personennahverkehr	local passenger service
Personenverkehr	passenger transport
Peru	Peru ; Republic of Peru
Pessimismus	pessmism
Pestizidpersistenz	persistence of pesticides
Pestizidrückstand	residual pesticide
Pestizidwechselwirkung	interaction of pesticides
Petition ; Unterschriftensammlung	petition
Petrochemie ; Petrochemikalie	petrochemical
Pfad	path
Pfandregelung	arrangement for a deposit on packaging
Pfeil	arrow
Pfeilspitze	arrowhead
Pferd	horse
Pferd ; Springer ; Ross ; Rössel	knight ; knight
Pflanze ; Gewächs	plant
Pflanzenart	plant species
Pflanzenauswahl	plant selection
Pflanzenbefall	infestation of crops
Pflanzenbehandlung	crop treatment
Pflanzenbestand	plant population
Pflanzenbiologie	plant biology
Pflanzenerbgut	plant heritage
Pflanzengesellschaft	plant community
Pflanzenhandel	plant trade
Pflanzenkrankheit	plant disease
Pflanzenliste	flora (document) ; flora
Pflanzenphysiologie	plant physiology
Pflanzenproduktion	plant production
Pflanzenschutz	crop protection
Pflanzenschutz	plant protection
Pflanzenschutzbehandlung	phytosanitary treatment
Pflanzenschutzmittel	plant protection product
Pflanzenteil	plant component
Pflanzenvermehrung	plant reproduction
Pflanzenzucht	plant breeding
Pflanzenzuchtbetrieb	nursery (plant breeding) ; nursery ; plant nursery
Pflanzenökologie	plant ecology
Pflanzenöl	vegetable oil
Pflug	plough
Phanerogame ; Samenpflanze	phanerogam ; spermatophyte
Pharmaindustrie ; pharmazeutische Industrie	pharmaceutical industry
Pharmakokinetik	pharmacokinetics
Pharmakologie	pharmacology
Phenol	phenol
Pheromone	pheromone
Philadelphia	Philadelphia
Philippinen	Philippines
Philologie	philology
Philosophie	philosophy
Phishing	phishing
Phobie	phobia
Phobos	Phobos
Phosphat	phosphate
Phosphatdünger	phosphatic fertiliser
Phosphatelimination	phosphate removal
Phosphatersatzstoff	phosphate substitute
Phosphor	phosphorus
Photo ; Foto ; Kamera ; Fotoapparat ; Photoapparat ; Fotokamera ; Photokamera	camera
Photo ; Photographie ; Foto ; Fotografie ; Lichtbild ; Bild	photo ; photograph
Photodegradation	photodegradation
Photogrammetrie	photogrammetry
Photographie ; Fotografie	photography
Photon ; Lichtteilchen ; Lichtquant	photon
Photooxidantien	photochemical oxidant
Photosynthese	photosynthesis
Physik	physics
Physiologie	physiology
Phytomasse	phytomass
Phytopathologie	phytopathology
Phytoplankton	phytoplankton
Phytotoxizität	phytotoxicity
Piemontesisch	Piedmontese ; Piedmontese ; Piemontese ; Piemontese
Pilotprojekt	pilot project
Pilz	fungus
Pinguin	penguin
Pixel ; Bildpunkt	pixel
Pizza	pizza
Plan	plan
Planet ; Wandelstern	planet
Planfeststellung	planning permission
Plankton	plankton
Planung	planning
Planungsmaßnahme	planning measure
Planungsrecht	planning law
Plasmatechnik	plasma technology
Plastik	plastic
Platin	platinum
Platz ; Ort	place ; location
Plazenta	placenta
Plutonium ; Plutonium ; Plutonium	plutonium ; plutonium ; plutonium
Plästern ; Regen ; Regenfall ; Regenguß	rain
Pocken	smallpox
Polargebiet ; Polarzone ; Polarregion	polar region
Polder	polder
Polen	Poland
Politik	politics
Politik	policy
Politikberatung	political counselling
Politikplanung	policy planning
Politikvernetzung	policy integration
Polizei	police
Polizeimacht	police power
Polizeirecht	police law
Pollen	pollen
Polnisch	Polish ; Polish
Polonium	polonium
Polybrombiphenyl	polybrominated biphenyl
Polychlorbiphenyl	polychlorinated biphenyl
Polychlordibenzofuran	polychlorinated dibenzofuran
Polychlorterphenyle	polychlorinated terphenyl
Polygon	polygon
Polymer	polymer
Polymerisation	polymerisation
Polyvinylchlorid	polyvinyl chloride
Polyäthylenterephtalat	polyethylene terephtalate
Population	population
Populationsdynamik	population dynamics
Populationsökologie	population ecology
Portugal	Portugal
Portugiesisch	Portuguese ; Portuguese
Porzellan	porcelain
Posaune	trombone
Posidonia	posidonia ; neptunegrass
Positron	positron
Postamt ; Post ; Postfiliale	post office
Pottasche	potash
Pragmatik	pragmatics
Praseodym	praseodymium
Preis	price
Preispolitik	prices policy
Preispolitik über Ressourcen	pricing policy of resources
Pressburg	Bratislava
Presse	press
Pressen	pressing
Primarstufe	primary education
Primaten	primate
Primzahl	prime number ; prime
Primärenergieverbrauch	primary energy consumption
Primärsektor	primary sector
Primärwald	primary forest
Prinz	prince
Privatgewässer	demesnial water
Privathaushalt	private household
Privatisierung	privatisation
Privatrecht	private law
Privatwald	private forest
Pro-Kopf-Daten	per capita data
Problem	problem
Procaryota	procaryote
Produkt	product
Produktbewertung	product evaluation
Produkthaftung	product liability
Produktinformation	product information
Produktionspolitik	production policy
Produktivität	productivity
Produktivitätsentwicklung	productivity trend
Produktkennzeichnung	product identification
Produktlebenszyklus	product life cycle
Produktnorm	product standard
Produktvergleich	product comparison
Produktverpackung und-aufmachung	preparation for market
Produktwerbung ; Produktreklame	product advertising
Produzentenhaftung	producer liability
Prognosedaten	prognostic data
Programm	programme
Projekt	project
Promethium	promethium
Prosit Neujahr ; Frohes neues Jahr ; Gutes neues Jahr	Happy New Year
Prostitution	prostitution
Protactinium	protactinium
Protein ; Eiweiß	protein ; poly peptide
Protokoll	protocol
Protozoen	protozoan
Prozessrecht	procedural law
Prozeß ; Prozess	case ; lawsuit ; trial
Prädator	predator
Präklusion	foreclosure
Prälat	prelate
Prämie	premium
Präposition ; Verhältniswort ; Vorwort	preposition
Präsident	president
Prüfdienst	inspection service
Pseudo-Krupp	spasmodic croup
Psychiater	psychiatrist
Psychologie	psychology
Puerto Rico	Puerto Rico
Pumpe	pump
Pumpen	pumping
Punjabi	Punjabi ; Panjabi
Punkt	point
Punktquelle	point source
Puppe	doll
Purin	purin
Putsch ; Staatsstreich	putsch ; coup d'état
Pyralene	pyralene
Pyrenäen	Pyrenees
Pyrolyse	pyrolysis
Pyrrhussieg	Pyrrhic victory
Pädagogik	pedagogy
Quadrat ; Platz	square
Qualitätskontrolle	quality control
Qualitätsnorm	quality standard
Qualitätssicherung	quality assurance
Qualitätszertifizierung	quality certification
Qualitätsziel	quality objective
Quartier	lodging
Quecksilber	mercury
Quelle	spring ; spring (hydrology, land)
Quellwasser	spring water
Rabbiner ; Rabbi	rabbi
Radar	radar
Radio	radio
Radioaktivität	radioactivity ; radioactive decay
Radiologie ; Röntgenologie	radiology
Radionuklid	radionuclide
Radiosendung	radio programme
Radium	radium
Radon	radon
Radweg	cycle path
Raffination ; Raffinierung	refining
Raffinerie	refinery
Rahmengesetzgebung	framework legislation
Rainout	rainout
Ramadan	Ramadan
Raps	rape
Rassenbeziehungen	race relations
Raster	raster
Raster zu Vektor	raster to vector
Rat der Europäischen Union	EU Council
Rate	rate
Raubbau	overexploitation
Rauch	smoke
Rauch ; Schwaden ; αιθάλη	fume
Rauchen	smoking
Rauchgas	flue gas
Raumfahrt	space travel
Raumordnung und -planung	land management and planning
Raumplanung	physical planning
Raumstruktur	regional structure
Raute ; Rhombus	rhombus ; rhomb
Reaktionskinetik	reaction kinetics
Reaktor	reactor
Reaktorsicherheit	reactor safety
Rechnungswesen	accounting system
Recht	law
Recht	justice
Rechtsakt	juridical act
Rechtsakt der Gemeinschaft	Community act
Rechtsanwalt ; Advokat ; Anwalt	lawyer
Rechtsbehelf	legal remedy
Rechtsdokument	legal text
Rechtsform einer Gesellschaft	legal form of organisations
Rechtsgebiet	law branch
Rechtsgrundlage	legal basis
Rechtsgut	legally protected right
Rechtsordnung der Gemeinschaft	Community legal system
Rechtsorgan	judicial body
Rechtsprechung ; Jurisdiktion	jurisdiction
Rechtsstreit	litigation
Rechtssystem	judicial system
Rechtssystem	legal system
Rechtsvereinheitlichung	harmonisation of law
Rechtsvergleichung	comparative law
Rechtsverordnung	legal regulation
Recycelbarkeit	recyclability
Recycling ; Rezyklierung	recycling
Recyclinggerechte Konstruktion	construction with recycled material
Recyclingpapier	recycled paper
Recyclingpotential	recycling potential
Recyclingquote	recycling ratio
Recyclingstoff	recycled material
Redoxreaktion	oxidation-reduction
Reduktion	chemical reduction
Referendum	referendum ; plebiscite
Reflexion	reflection
Reflexionsmessung	reflectometry
Refugium	refuge
Regel der Technik	code of practice
Regenbogen	rainbow
Regeneration	regeneration
Regenwald	rain forest
Regenwasserkanalisation	rain water sewer system
Regenwurm	earthworm
Regierungsberatungsorgan	government advisory body
Regierungsgebäude	government building
Regierungspolitik	government policy
Region	region
Regionalbehörde	regional authority
Regionalentwicklung	regional development
Regionalplan	regional plan
Regionalplanung	regional planning
Regionalstatistik	regional statistics
Regulierung	regulation
Reifen	tyre
Reiher	heron
Reinigung	purification
Reinigung durch den Boden	purification through the soil
Reinigungsanlage	purification facility
Reinigungsanlage	purification plant
Reinigungskraft	purifying power
Reinlichkeit ; Sauberkeit	cleanliness
Reinluftgebiet	clean air area
Reis	rice
Reis ; Reiskorn ; Reiskorn	rice
Rekultivierung	land reclamation
Relief	relief (land)
Religion	religion
Renaturierung	renaturation
Rentier ; Ren	reindeer
Reptilien ; Reptilien ; Reptilien	reptile ; reptile ; reptile
Republik Kongo	Republic of the Congo ; Congo-Brazzaville
Reservat ; Schutzgebiet	reserve
Resistenz	resistance (biological) ; resistance
Resolution	resolution
Resorption	resorption
Ressource	resource ; resources
Ressourcenbewertung	resource appraisal
Ressourcenbewirtschaftung	resources management
Ressourcennutzung	resource utilisation
Ressourcenpflege	resource conservation
Ressourcenvorrat	resource reserve
Restabfall	residual waste
Restklärschlamm	residual waste sludge
Restrisiko	residual risk
Restwassermenge	residual amount of water
Rettungsdienst	rescue service
Rettungssystem	rescue system
Rezept	recipe
Rhenium	rhenium
Rhodium	rhodium
Rhône	Rhône
Richtlinie	directive
Rieselfeld	sewage farm
Riff	reef
Rinder	cattle
Ringelwurm	annelid
Ringversuch	interlaboratory comparison
Risikoanlage	major risk installation
Risikokommunikation	risk communication
Rodung	land clearing
Roentgenium	roentgenium
Rohr	pipe
Rohrleitung	pipeline
Rohstoff	raw material
Rohstoffausbeutung	resource exploitation
Rohstoffschutz	natural resource conservation
Rohstoffsicherung	raw material securing
Rohstoffverbrauch	raw material consumption
Rohwasser	raw water
Rohöl	crude oil
Rollgeräusch	rolling noise
Rollstuhl	wheelchair
Rom	Rome
Roman	novel
Rose	rose
Rosenkranz	rosary
Rotmilan ; Roter Milan ; Gabelweihe ; Königsweihe	red kite
Rotschlamm ; Rotschlick	red tide
Rubidium	rubidium
Rubin	ruby
Ruhe ; Schlaf ; Schlummer	sleep
Rumänien	Romania
Rumänisch	Romanian ; Romanaian
Rundschreiben	circular mail
Russ ; Ruß	soot
Russisch	Russian ; Russian
Russland ; Russische Föderation	Russia ; Russian Federation
Ruthenium	ruthenium
Rutherfordium	rutherfordium
Rückgewinnungsindustrie	reclamation industry
Rückgewinnungsplan	recovery plan
Rückstandsanalyse	residue analysis
Rückstandsverwertung	residue recycling
Rüsseltiere	proboscidean
Rüstungsaltlast	disused military site
Rüstungskonversion	armament conversion
Saatgut	seed
Sachalin	Sakhalin ; Saghalien
Sachsen	Saxony
Sahara	sahara
Saint-Pierre und Miquelon	Saint-Pierre and Miquelon
Salamander	salamander
Salat ; Kopfsalat ; grüner Salat ; Häuptelsalat	lettuce
Salomonen	Solomon Islands
Salz ; Salze	salt
Salzsäure	hydrochloric acid ; muriatic acid
Salzwasser	salt water
Samarium	samarium
Sambia	Zambia ; Republic of Zambia
Same ; Samen	seed
Sammelabwasserbehandlung	collective wastewater treatment
Samoa	Samoa
Samstag ; Sonnabend	Saturday
San Marino	San Marino
Sand	sand
Sanddüne	sand dune
Sanierung	återställande ; rehabilitation
Sanierung	cleaning up
Sanierung von Bergbaugebieten	mining site restoration ; mine reclamation
Sansibar	Zanzibar
Sanskrit	Sanskrit ; Sanskrit
Sapir-Whorf-Hypothese	Sapir–Whorf hypothesis
Sardine	sardine
Satellit	satellite
Saturn	Saturn
Saudi-Arabien	Saudi Arabia ; Kingdom of Saudi Arabia
Sauerstoff	oxygen
Sauerstoffeintrag	oxygenation
Sauerstoffgehalt	oxygen content
Saxophon ; Saxofon	saxophone
Schabe ; Kakerlake	cockroach
Schach ; Schach ; Schachspiel	chess
Schaden	damage
Schaden durch Tiere	animal damage
Schadenersatz	indemnity
Schadensausgleich	compensation for damage
Schadensbewertung	damage assessment
Schadensminderung	minimisation of damage
Schadensvermeidung	damage prevention
Schadensversicherung	damage insurance
Schadstoff	pollutant
Schadstoffabbau	pollutant degradation
Schadstoffakkumulation	pollutant accumulation
Schadstoffanalyse	pollutant analysis
Schadstoffaufnahme	pollutant absorption
Schadstoffausbreitung	pollutant dispersion
Schadstoffbelastung	pollution load
Schadstoffbewertung	pollutant assessment
Schadstoffbildung	pollutant formation
Schadstoffdeposition	pollutant deposition
Schadstoffelimination	pollutant elimination
Schadstoffemission	pollutant emission
Schadstoffentwicklung	pollutant evolution
Schadstoffexposition	pollutant exposure
Schadstofffluß	pollutant flow
Schadstoffimmission	pollutant immission
Schadstoffimmobilisierung	pollutant immobilisation
Schadstoffkonzentration	pollutant concentration
Schadstoffmessung	pollution measurement
Schadstoffminderung	pollutant reduction
Schadstoffnorm	pollution norm
Schadstoffremobilisierung	pollutant remobilisation
Schadstofftyp	pollution type
Schadstoffverbleib	pollutant pathway
Schadstoffverteilung	pollutant distribution
Schadstoffwanderung	pollutant migration
Schadstoffüberwachung	pollutant monitoring
Schaf	sheep
Schakal	jackal
Schall	sound
Schallisolierung	acoustic insulation
Schallmessung	sound measurement
Schaltjahr	leap year
Schaumbildner	foaming agent
Scheidung ; Ehescheidung	divorce
Schienenfahrzeug	railroad vehicle ; carriage ; wagon
Schienenverkehr	rail traffic
Schiff	ship
Schiffahrt ; Schifffahrt ; Navigation	navigation
Schiffstechnik	marine engineering
Schilddrüse	thyroid
Schildkröte	tortoise
Schilf	reed
Schimpanse	chimpanzee
Schlachthof	slaughter-house
Schlachthof ; Schlachthaus	slaughterhouse ; slaughter-house ; abattoir ; butchery ; shambles
Schlachtrind	beef cattle
Schlachtvieh	animal for slaughter
Schlacke	slag
Schlafstörung	sleep disturbance
Schlagzeug	drum kit
Schlamm	mud
Schlamm	sludge
Schlammbeseitigung	clearing sludge
Schlammteichverfahren	lagooning
Schlange	snake
Schlempe	vinasse
Schlick	silt
Schlickwatt	mud flat
Schloß ; Burg ; Festung ; Festung	castle
