# German-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:35:12+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Rhombus'''	rhombus
Muttersprache	mother tongue
Myanmar	Myanmar
Myokardinfarkt	heart attack
Myrrhe	myrrh
Mythologie	mythology
Mädchen	girl
Mädchen	maid
Mähne	mane
Männchen	male
Männchen	cock
Männer	men
Märchen	fairy tale
Märtyrer	martyr
März	March
Möbiusband	Möbius strip
Möglichkeit	possibility
Möhre	carrot
Mönch	monk
Mörder	murderer
Mörser	mortar
Mörtel	mortar
Möwe	gull
Möwe	seagull
Mücke	mosquito
Mühe	trouble
Mühle	mill
Mühlstein	millstone
München	Munich
Mündung	mouth
Münzanstalt	mint
Münze	coin
NATO	NATO
Nachbar	neighbour
Nachbarschaft	neighbourhood
Nachbarschaft	neighborhood
Nachmittag	afternoon
Nachname	surname
Nachricht	news
Nachricht	message
Nachspeise	dessert
Nacht	night
Nachtessen	supper
Nachtigall	nightingale
Nacken	nape
Nacktheit	nudity
Nacktschnecke	slug
Nadel	needle
Nagel	nail
Nageleisen	crowbar
Nagetier	rodent
Naher Osten	Middle East
Nahrung	food
Nahuatl	Nahuatl
Name	name
Namenstag	name day
Namibia	Namibia
Narbe	scar
Narr	fool
Narwal	narwhal
Narzisse	daffodil
Nase	nose
Nasenloch	nostril
Nashorn	rhinoceros
Nation	nation
Nationalhymne	national anthem
Nationalismus	nationalism
Nationalität	nationality
Natrium	sodium
Natur	nature
Nauru	Nauru
Neapel	Naples
Nebel	fog
Nebel	mist
Nebel	nebula
Neffe	nephew
Neger	nigger
Neid	envy
Nein	no
Nekrophilie	necrophilia
Neodym	neodymium
Neon	neon
Nepal	Nepal
Neptun	Neptune
Neptunium	neptunium
Nessel	nettle
Nest	nest
Netz	net
Netz	web
Neu-Delhi	New Delhi
Neues Testament	New Testament
Neugier	curiosity
Neuguinea	New Guinea
Neuheit	novelty
Neuigkeiten	news
Neujahr	New Year
Neujahr	New Year's Day
Neusatz	Novi Sad
Neuseeland	New Zealand
Neutrino	neutrino
Neutron	neutron
New Jersey	New Jersey
New South Wales	New South Wales
New York	New York City
New York	New York
New York City, New York	New York
Nicaragua	Nicaragua
Nichte	niece
Nickel	nickel
Niederlage	defeat
Niederland	Holland
Niederländer	Dutch
Niederländisch	Dutch
Niere	kidney
Niesen	sneeze
Niet	rivet
Niger	Niger
Nigeria	Nigeria
Nike	Nike
Nikolaus	Nicholas
Nil	Nile
Niob	niobium
Nippel	nipple
Nisse	nit
Niue	Niue
Nixe	mermaid
Noah	Noah
Nobelium	nobelium
Nominativ	nominative case
Nominativ	nominative
Nonne	nun
Nordamerika	North America
Nordamerikanischer Bison	American bison
Norden	north
Nordeuropa	Northern Europe
Nordkorea	North Korea
Nordpol	North Pole
Nordsee	North Sea
Norfolkinsel	Norfolk Island
Northern Territory	Northern Territory
Norwegen	Norway
Norweger	Norwegian
Norwegisch	Norwegian
Notiz	note
Notwendigkeit	need
Novelist	novelist
November	November
Nr.	no.
Nudel	noodle
Null	zero
Nullstelle	zero
Nummer	number
Nuss	nut
Nutzen	use
Nyx	Nyx
Nähe	vicinity
Nähmaschine	sewing machine
Oase	oasis
Ober	waiter
Oberfläche	surface
Oberhaupt	head
Oberleutnant	lieutenant
Oberschenkel	thigh
Oberst	colonel
Oberster Rechtsgelehrter	Supreme Leader
Oberteil	top
Objekt	object
Oboe	oboe
Observatorium	observatory
Ochse	ox
Ochse	steer
Ockhams Rasiermesser	Occam's razor
Odysee	Odyssey
Ofen	fire
Ofen	oven
Ofen	stove
Offenbarung	Revelation
Offizier	officer
Ohm	ohm
Ohr	ear
Ohrenschmalz	earwax
Ohrring	earring
Ohrwurm	earwig
Oktober	October
Oktopus	octopus
Okzitanisch	Occitan
Olive	olive
Olivenbaum	olive tree
Olympische Spiele	Olympic Games
Olympische Winterspiele	Olympic Winter Games
Oman	Oman
Omelett	omelette
Onkel	uncle
Onomatopoese	onomatopoeia
Onyx	onyx
Operation	operation
Opfer	sacrifice
Orange	orange
Orchester	orchestra
Orchidee	orchid
Orden	order
Order	order
Ordner	folder
Ordnung	order
Ordnungszahl	atomic number
Organ	organ
Organisation	organization
Organismus	organism
Orgasmus	orgasm
Orgel	organ
Orinoco	Orinoco
Orion	Orion
Orthoklas	orthoclase
Osmium	osmium
Ostdeutschland	East Germany
Osten	east
Osterei	Easter egg
Osterinsel	Easter Island
Ostern	Easter
Osteuropa	Eastern Europe
Ostsee	Baltic Sea
Osttimor	East Timor
Otter	otter
Ouagadougou	Ouagadougou
Oxford	Oxford
Ozean	ocean
Ozeanien	Oceania
Paar	pair
Paar	couple
Pagode	pagoda
Paket	package
Pakistan	Pakistan
Palast	palace
Palau	Palau
Palimpsest	palimpsest
Palindrom	palindrome
Palladium	palladium
Palme	palm
Palästina	Palestine
Pampelmuse	grapefruit
Panama	Panama
Panchatantra	Panchatantra
Panda	panda
Pandeismus	pandeism
Pandjab	Punjab
Pandschabi	Punjabi
Panentheismus	panentheism
Pangäa	Pangaea
Pantheismus	pantheism
Panzerkrebs	crayfish
Papa	daddy
Papagei	parrot
Papamobil	Popemobile
Papier	paper
Papier	tissue
Pappel	poplar
Papst	pope
Papua-Neuguinea	Papua New Guinea
Parabel	parabola
Parade	parade
Parade	march
Paradies	paradise
Paradox	paradox
Paragraph	article
Paraguay	Paraguay
Paralyse	paralysis
Parfüm	perfume
Paris	Paris
Park	park
Parkinson Krankheit	Parkinson's disease
Parlament	parliament
Partei	party
Partizip	participle
Party	party
Pascha	pasha
Pass	passport
Passagier	passenger
Patient	patient
Patt	stalemate
Pause	pause
Pause	break
Pavian	baboon
Pech	pitch
Peitsche	whip
Pejorativum	pejorative
Peking	Beijing
Pelikan	pelican
Penis	penis
Penny	penny
Perestroika	perestroika
Perikles	Pericles
Perineum	perineum
Periodensystem	periodic table
Perle	pearl
Perlhuhn	guinea fowl
Perser	Persian
Persien	Persia
Person	person
Person	character
Personalpronomen	personal pronoun
Personalwesen	Human Resource Management
Persönlichkeit	personality
Peru	Peru
Perücke	wig
Peschawar	Peshawar
Petersilie	parsley
Pfad	path
Pfahl	stake
Pfand	pledge
Pfannkuchen	pancake
Pfau	peacock
Pfeffer	pepper
Pfeife	pipe
Pfeil	arrow
Pfeiler	pillar
Pferd	horse
Pfirsich	peach
Pfirsichbaum	peach
Pflanze	plant
Pflanzenfresser	herbivore
Pflaster	band-aid
Pflaume	plum
Pflicht	duty
Pflug	plow
Pflug	plough
Pfote	paw
Pfote	foot
Pfund	pound
Pharao	pharaoh
Pharynx	pharynx
Philipp	Philip
Philippinen	Philippines
Philosoph	philosopher
Philosophie	philosophy
Phobie	phobia
Phonetik	phonetics
Phosphor	phosphorus
Photon	photon
Photosynthese	photosynthesis
Physik	physics
Physiologie	physiology
Phönix	phoenix
Pi	pi
Pianist	pianist
Pickel	pimple
Pier	pier
Pik	spade
Pik	spades
Pilot	pilot
Pilz	mushroom
Pilz	fungus
Pinguin	penguin
Piranha	piranha
Pirat	pirate
Pistazie	pistachio
Pistole	pistol
Pixel	pixel
Pizza	pizza
Plage	plague
Plan	plan
Plancksches Wirkungsquantum	Planck's constant
Planet	planet
Plantage	plantation
Plastik	plastic
Platane	plane
Platin	platinum
Plattform	platform
Platz	place
Platz	square
Platzangst	claustrophobia
Plinius	Pliny
Plural	plural
Plural-, pluralisch	plural
Plutarch	Plutarch
Pluto	Pluto
Plutonium	plutonium
Poesie	poetry
Poet	poet
Pol	pole
Polen	Poland
Politik	politics
Politik	policy
Politiker	politician
Politur	polish
Polizei	police
Polizeiwache	police station
Polizist	police officer
Polizist	policeman
Polnisch	Polish
Polonium	polonium
Polyamory	polyamory
Polytheismus	polytheism
Pommes frites	french fries
Popcorn	popcorn
Pornografie	pornography
Porree	leek
Portugal	Portugal
Portugiese	Portuguese
Portugiesisch	Portuguese
Porzellan	porcelain
Postamt	post office
Postkarte	postcard
Potenz	power
Potenzmenge	power set
Pottwal	sperm whale
Prag	Prague
Praline	chocolate
Preis	price
Preis	prize
Premierminister	prime minister
Pressburg	Bratislava
Preußen	Prussia
Priester	priest
Primzahl	prime number
Prinzip	principle
Privileg	privilege
Probe	test
Probe	sample
Probe	trial
Problem	problem
Produkt	product
Professor	professor
Programm	Template:program-programme-noun
Programmiersprache	programming language
Projekt	project
Proletarier aller Länder, vereinigt euch	workers of the world, unite
Promethium	promethium
Prominenter	star
Pronomen	pronoun
Propaganda	propaganda
Prostituierte	prostitute
Protestant	Protestant
Prothese	prosthesis
Proton	proton
Prototyp	prototype
Provinz	province
Prozedur	procedure
Prozent	percent
Prozess	process
Prädikat	predicate
Präfix	prefix
Präposition	preposition
Präputium	prepuce
Präriehund	prairie dog
Präservativ	condom
Präsident	president
Prüfsumme	checksum
Pseudonym	pseudonym
Psychiater	psychiatrist
Psychologe	psychologist
Psychologie	psychology
Psychopolitik	psychopolitics
Publikum	public
Puder	powder
Puerto Rico	Puerto Rico
Puls	pulse
Pumpe	pump
Punkt	dot
Punkt	point
Puppe	doll
Purpur	purpure
Pyramide	pyramid
Pythagoras	Pythagoras
Python	python
Päderast	pederast
Päderastie	pederasty
Quacksalberei	quackery
Quadrat	square
Quadratwurzel	square root
Qual	torment
Qualität	quality
Qualle	jellyfish
Quantisierung	quantization
Quark	quark
Quartal	quarter
Quarz	quartz
Quechua	Quechua
Quecksilber	mercury
Quelle	spring
Quelle	root
Quelltext	source code
Quidditch	quidditch
Quäker	Quaker
Rabbiner	rabbi
Rabe	raven
Rache	revenge
Rachel	Rachel
Rad	wheel
Radieschen	radish
Radio	radio
Radium	radium
Radius	radius
Radon	radon
Rahmen	frame
Rakete	rocket
Rakete	missile
Rakvere, (old names: Wesenberg	Rakvere
Rand	edge
Rangun	Rangoon
Rangun	Yangon
Rasen	grass
Rasiermesser	razor
Rassismus	racism
Rat	council
Rat	advice
Ratte	rat
Raubvogel	bird of prey
Rauch	smoke
Rauchen verboten	no smoking
Raum	room
Raum	space
Raum	chamber
Raumfahrzeug	spacecraft
Raumschiff	spaceship
Raupe	caterpillar
Raute	rue
Reaktion	reaction
Realismus	realism
Rebe	vine
Rebell	rebel
Rebellion	rebellion
Rebhuhn	partridge
Rechen	rake
Rechner	calculator
Rechnung	check
Rechnung	invoice
Recht	right
Recht	law
Rechte	right
Rechteck	rectangle
Rechtfertigung	vindication
Rechtsanwalt	advocate
Rechtsanwalt	lawyer
Rechtsanwalt	attorney
Rede	speech
Redensart	expression
Redewendung	phrase
Regel	rule
Regelung	regulation
Regen	rain
Regenbogen	rainbow
Regenbogenforelle	rainbow trout
Regenwurm	earthworm
Regierung	government
Regimeänderung	regime change
Regisseur	director
Reh	roe deer
Reh	roe
Rehkitz	fawn
Reich	kingdom
Reich	realm
Reifen	tire
Reifen	tyre
Reihe	row
Reihe	file
Reiher	heron
Reis	rice
Reise	voyage
Reise	journey
Reise	trip
Reise	travel
Reiseführer	guide book
Reiseziel	destination
Reiter	rider
Reißverschluß	zip fastener
Rekord	record
Relation	relation
Relativität	relativity
Religion	religion
Rennen	race
Rentier	reindeer
Reparatur	repair
Repräsentant	representative
Republik	republic
Reservieren	reserve
Rest	rest
Restaurant	restaurant
Resultat	result
Rettungswagen	ambulance
Reue	regret
Revolution	revolution
Rezept	recipe
Rezept	prescription
Rhabarber	rhubarb
Rhein	Rhine
Rhodium	rhodium
Richard	Richard
Richter	judge
Riese	giant
Riesenrad	Ferris wheel
Riga	Riga
Rigaischer Meerbusen	Gulf of Riga
Rind	cattle
Rindfleisch	beef
Ring	ring
Ringfinger	ring finger
Ringkampf	wrestling
Rippe	rib
Ritter	knight
Ritual	ritual
Robbe	seal
Robert	Robert
Rochade	castling
Rochen	ray
Rock	skirt
Rock	rock
Roentgenium	roentgenium
Roggen	rye
Rohmaterial	raw material
Rohr	tube
Rohr	pipe
Rohr	cane
Rohrdommel	bittern
Rohöl	crude oil
Rolle	part
Rollstuhl	wheelchair
Rolltreppe	escalator
Rom	Rome
Rom ist nicht an einem Tag erbaut worden	Rome wasn't built in a day
Roman	novel
Rose	rose
Rosine	raisin
Rosmarin	rosemary
Rost	rust
Rot	red
Rotes Meer	Red Sea
Rothirsch	red deer
Rotkardinal	cardinal
Rotkehlchen	robin
Rotkäppchen	Little Red Riding Hood
Rotverschiebung	redshift
Rotwein	red wine
Rotz	snot
Roxane	Roxanne
Ruanda	Rwanda
Rubel	ruble
Rubidium	rubidium
Rucksack	backpack
Ruder	oar
Ruf	call
Rufzeichen	callsign
Ruhe	peace
Ruine	ruin
Rum	rum
Rumpf	body
Rumäne	Romanian
Rumänien	Romania
Rumänisch	Romanian
Russe	Russian
Russisch	Russian
Russische Föderation	Russian Federation
Ruthenium	ruthenium
Rutil	rutile
Rußland	Russia
Rätsel	enigma
Rätsel	puzzle
Römer	Latin
Römisches Reich	Roman Empire
Röntgen	röntgen
Röntgenbild	X-ray
Röntgenstrahl	X-ray
Rücken	back
Rückenmark	spinal cord
Rückgrat	backbone
Rückgrat	spine
Rückseite	back
Rülpser	burp
Rüssel	trunk
Rüstung	armor
Rüstung	armour
Saatkrähe	rook
Sabotage	sabotage
Saccharose	sucrose
Sack	sack
Sackpfeife	bagpipes
Saft	juice
Sahne	cream
Saint Lucia	Saint Lucia
Salat	lettuce
Salat	salad
Salomonen	Solomon Islands
Salz	salt
Salzsäure	hydrochloric acid
Sambia	Zambia
Same	seed
Samen	semen
Samenleiter	vas deferens
Sami	Saami
Sami	Sami
Samoa	Samoa
Samosata	Samosata
Samstag	Saturday
Samuel	Samuel
Samurai	samurai
San Marino (1)	San Marino
Sand	sand
Sandelholz	sandalwood
Sanduhr	hourglass
Sankt Nikolaus	Santa Claus
Sanskrit	Sanskrit
Saphir	sapphire
Sara	Sarah
Sarajevo	Sarajevo
Sardelle	anchovy
Sardinien	Sardinia
Sarg	coffin
Sarkasmus	sarcasm
Sarkophag	sarcophagus
Satellit	satellite
Sattel	saddle
Saturn	Saturn
Satz	sentence
Saudi-Arabien	Saudi Arabia
Sauerstoff	oxygen
Saustall	pigsty
Saxophon	saxophone
Schabe	cockroach
Schablone	template
Schach	chess
Schach	check
Schachbrett	chessboard
Schachmatt	checkmate
Schaden	damage
Schaf	sheep
Schaffen	creation
Schaffner	conductor
Schahada	shahada
Schakal	jackal
Schal	scarf
Schale	peel
Schale	bowl
Schallgeschwindigkeit	speed of sound
Schalter	switch
Schaltjahr	leap year
Schaluppe	sloop
Scham	shame
Schande	shame
Schanghai	Shanghai
Schatten	shadow
Schatten	shade
Schatz	treasure
Schatz	honey
Schatzmeister	treasurer
Schauer	shower
Schaufel	shovel
Schaufenster	window
Schaukel	swing
Schaum	foam
Schaum	froth
Schauspiel	play
Schauspieler	actor
Schauspielerin	actress
Scheck	check
Scheck	cheque
Scheide	vagina
Scheide	sheath
Scheide	scabbard
Scheidung	divorce
Scheiss	shit
Scheiterhaufen	pyre
Scheiße	shit
Scheiße	fuck
Schellfisch	haddock
Schema	scheme
Schere	scissors
Scherz	joke
Schicksal	fate
Schicksal	destiny
Schiedsrichter	referee
Schiedsrichter	judge
Schienbein	shin
Schienbein	shinbone
Schiff	ship
Schiff	vessel
Schild	shield
Schildkröte	turtle
Schildkröte	tortoise
Schilf	reed
Schimmel	mould
Schimpanse	chimpanzee
Schimpfwort	swear word
Schinken	ham
Schiraz	Shiraz
Schirm	umbrella
Schirm	screen
Schlacht	battle
Schlachtschiff	battleship
Schlaf	sleep
Schlaflied	lullaby
Schlafwandeln	somnambulism
Schlafzimmer	bedroom
Schlamm	mud
Schlampe	bitch
Schlange	snake
Schlange	serpent
Schleiereule	barn owl
Schleim	mucus
Schloss	lock
Schlucht	ravine
Schluckauf	hiccup
Schläfe	temple
Schläger	bat
Schlüssel	key
Schlüsselbein	collarbone
Schmerz	pain
Schmerz	ache
Schmetterling	butterfly
Schmied	blacksmith
Schmirgelpapier	sandpaper
Schnabel	beak
Schnabeltier	platypus
Schnecke	snail
Schnee	snow
Schneeball	snowball
Schneefall	snow
Schneeflocke	snowflake
Schneeleopard	snow leopard
Schneemann	snowman
Schneesturm	snowstorm
Schneewittchen	Snow White
Schneider	tailor
Schnellgericht	fast food
Schnelligkeit	speed
Schnitte	bird
Schnittlauch	chive
Schnur	string
Schnurrbart	moustache
Schnurrbart	mustache
Schock	shock
Schokolade	chocolate
Scholle	flounder
Schopftintling	lawyer's wig
Schottland	Scotland
Schraube	screw
Schraubenzieher	screwdriver
Schraubstock	vise
Schrecken	terror
Schrei	cry
Schreibmaschine	typewriter
Schreibtisch	desk
Schrein	shrine
Schriftart	font
Schriftsteller	writer
Schritt	step
Schrödingers Katze	Schrödinger's cat
Schubkarre	wheelbarrow
Schublade	drawer
Schuh	shoe
Schuhcreme	shoe polish
Schuld	guilt
Schule	school
Schulter	shoulder
Schulterblatt	shoulder blade
Schuppe	scale
Schuss	shot
Schusswaffe	firearm
Schutz	shield
Schutz	protection
Schwager	brother-in-law
Schwalbe	swallow
Schwamm	sponge
Schwan	swan
Schwangerschaft	pregnancy
Schwangerschafttod	maternal death
Schwanz	tail
Schwanz	dick
Schwanz	cock
Schwarm	flock
Schwarz	black
Schwarze	black
Schwarzes Meer	Black Sea
Schwarzspecht	black woodpecker
Schwede	Swede
Schweden	Sweden
Schwedisch	Swedish
Schwefel	sulfur
Schweif	tail
Schweigen	silence
Schwein	pig
Schweinefleisch	pork
Schweiz	Switzerland
Schweiß	sweat
Schweiß	perspiration
Schwerkraft	gravity
Schwerkraft	gravitation
Schwert	sword
Schwertfisch	swordfish
Schwertwal	orca
Schwester	sister
Schwester	sisters
Schwiegermutter	mother-in-law
Schwiegersohn	son-in-law
Schwiegertochter	daughter-in-law
Schwiegervater	father-in-law
Schwuchtel	faggot
Schwuler	fruit
Schwäche	weakness
Schwägerin	sister-in-law
Schädel	skull
Schäferhund	sheepdog
Schöpfer	creator
Schöpflöffel	ladle
Schöpfung	creation
Schüler	pupil
Schürze	apron
Schürzenjäger	womanizer
Schütze	Sagittarius
Sechseck	hexagon
See	lake
Seeigel	sea urchin
Seele	soul
Seelöwe	sea lion
Seepferdchen	sea horse
Seestern	starfish
Segel	sail
Segeln	sailing
Sehenswürdigkeit	sight
Sehne	tendon
Sehvermögen	sight
Seide	silk
Seidenspinner	silkworm
Seife	soap
Seifenschaum	lather
Seil	rope
Seite	page
Seite	side
Sekretär	secretary
Sekte	sect
Sekundant	second
Sekunde	second
Selbst	self
Selbstregulation	homeostasis
Selen	selenium
Sellerie	celery
Semelfaktiv	semelfactive
Senegal	Senegal
Senf	mustard
Senke	valley
Sense	scythe
Seoul	Seoul
September	September
Septuaginta	Septuagint
Serbe	Serbian
Serbe	Serb
Serbien und Montenegro	Serbia and Montenegro
Serbokroatisch	Serbo-Croatian
Serenade	serenade
Serviette	napkin
Set	set
Sevilla	Seville
Sex	sex
Sex auf „französisch“	blowjob
Sexualwissenschaft	sexology
Sexuelle Orientierung	sexual orientation
Seychellen	Seychelles
Shampoo	shampoo
Sherlock Holmes	Sherlock Holmes
Sibirien	Siberia
Sichel	sickle
Sicherheit	security
Sicherheit	safety
Sieb	sieve
Siebenbürgen	Transylvania
Siebenhundertfünfzig	seven hundred and fifty
Sieg	victory
Siegel	seal
Sierra Leone	Sierra Leone
Silbe	syllable
Silber	silver
Silber	argent
Silberschmied	silversmith
Silizium	silicon
Simbabwe	Zimbabwe
Sinfonie	symphony
Singapur	Singapore
Sinn	sense
Sinus	sine
Sitzung	meeting
Sitzung	session
Sizilien	Sicily
Skandinavien	Scandinavia
Skandium	scandium
Skelett	skeleton
Ski	ski
Skorpion	scorpion
Skrotum	scrotum
Skulptur	sculpture
Slang	slang
Slowake	Slovak
Slowakei	Slovakia
Slowene	Slovene
Slowene	Slovenian
Slowenien	Slovenia
Slowenisch	Slovene
Slowenisch	Slovenian
Smaragd	emerald
Snob	snob
Socke	sock
Sofa	sofa
Sofia	Sofia
Software	software
Soldat	soldier
Somali	Somali
Somalia	Somalia
Sommer	summer
Sommersprosse	freckle
Sonatensatzform	sonata form
Sonderling	nerd
Sonett	sonnet
Sonne	Sun
Sonnenaufgang	sunrise
Sonnenblume	sunflower
Sonnenbrille	sunglasses
Sonnensystem	solar system
Sonnenuntergang	sunset
Sonntag	Sunday
Sophia	Sophia
Sorbisch	Sorbian
Sorge	worry
Sorge	trouble
Sorghum	sorghum
Soul	soul
Sowjetunion	Soviet Union
Sozialismus	socialism
Soße	sauce
Soße	gravy
Spaghetti	spaghetti
Spam	spam
Spanien	Spain
Spanier	Spaniard
Spanisch	Spanish
Spannung	stress
Spannung	voltage
Spaten	spade
Spaziergang	walk
Spazierstock	cane
Specht	woodpecker
Speck	bacon
Speichel	saliva
Speicher	memory
Speiseröhre	gullet
Sperber	sparrow hawk
Sperling	sparrow
Sperma	sperm
Spezialität	specialty
Spezialität	speciality
Sphinx	Sphinx
Sphäre	sphere
Spider-Man	Spider-Man
Spiegel	Template:mirror/Translations
Spiel	game
Spiel	play
Spiel	match
Spielergebnis	score
Spielkarte	playing card
Spielzeug	toy
Spinat	spinach
Spinett	harpsichord
Spinne	spider
Spion	spy
Spitzbart	goatee
Spitze	lace
Spitzmaus	shrew
Spitzname	nickname
Sport	sport
Spott	taunt
Sprache	language
Sprache	speech
Sprecher	speaker
Sprichwort	proverb
Sprichwort	saying
Springer	knight
Sprung	leap
Sprungfeder	spring
Sri Lanka	Sri Lanka
St. Kitts und Nevis	Saint Kitts and Nevis
St. Vincent und die Grenadinen	Saint Vincent and the Grenadines
Staat	state
Staatenbund	commonwealth
Staatsstreich	coup d'état
Stab	stick
Stab	pole
Stachelbeere	gooseberry
Stacheldraht	barbed wire
Stachelschwein	porcupine
Stadt	city
Stahl	steel
Stamm	trunk
Stamm	tribe
Stammzelle	stem cell
Star	starling
Station	station
Statistik	statistics
Statue	statue
Staub	dust
Staubsauger	vacuum
Staubsauger	vacuum cleaner
Stechmücke	gnat
Stechpalme	holly
Stecknadel	pin
Stefan	Stephen
Steigbügel	stirrup
Stein	stone
Stein	man
Stein der Weisen	philosopher's stone
Stein von Rosette	Rosetta Stone
Steinadler	golden eagle
Steinbock	ibex
Steinkauz	little owl
Steinzeit	Stone Age
Stellung	position
Sterbehilfe	euthanasia
Sterblichkeit	mortality
Stern	star
Sternbild	constellation
Sternchen	asterisk
Steuer	tax
Steuerknüppel	joystick
Stevia, Süßkraut, Süßblatt, Honigkraut	stevia
Stickstoff	nitrogen
Stiefbruder	stepbrother
Stiefel	boot
Stiefmutter	stepmother
Stiefsohn	stepson
Stieftochter	stepdaughter
Stiefvater	stepfather
Stiel	stalk
Stier	Taurus
Stil	style
Stimme	vote
Stimme	voice
Stimmung	tone
Stinktier	skunk
Stirn	forehead
Stock	stick
Stockente	mallard
Stockwerk	story
Stoff	cloth
Stolz	pride
Storch	stork
Stoßzahn	tusk
Strafe	sentence
Strafe	penalty
Strahl	ray
Strahlung	radiation
Strand	beach
Strauch	bush
Strauß	ostrich
Straße	road
Straße	street
Straße	strait
Straßenbahn	tram
Streich	prank
Streichholz	match
Streik	strike
Streit	argument
Streit	strife
Streitaxt	axe
Streitkolben	mace
Stroh	straw
Strohhalm	drinking straw
Strom	current
Strom	power
Stromstärke	current
Strontium	strontium
Strophe	stanza
Strumpf	stocking
Student	student
Stunde	hour
Sturmmöwe	common gull
Stute	mare
Stärke	strength
Stör	sturgeon
Stück	piece
Suaheli	Swahili
Subjekt	subject
Substantiv	noun
Substanz	substance
Subtropen	subtropics
Suche	search
Sucher	seeker
Suchmaschine	search engine
Sudan	Sudan
Sudeten	Sudeten
Sudetenland	Sudetenland
Sueskanal	Suez Canal
Suizident	suicide
Sultan	sultan
Sumerisch	Sumerian
Summe	total
Summe	sum
Sumpf	swamp
Superlativ	superlative
Suppe	soup
Surinam	Suriname
Surrealismus	surrealism
Svalbard und Jan Mayen	Svalbard and Jan Mayen Islands
Svalbard, Spitzbergen	Svalbard
Swasiland	Swaziland
Swastika	swastika
Syllogismus	syllogism
Symptom	symptom
Synagoge	synagogue
Synonym	synonym
Synthesizer	synthesizer
Syrah	Shiraz
Syrien	Syria
System	system
Szene	scene
Säbel	sabre
Säge	saw
Sänger	singer
Säugetier	mammal
Säure	acid
Südafrika	South Africa
Südamerika	South America
Süden	south
Südeuropa	Southern Europe
Südkorea	South Korea
Südpol	South Pole
Sünde	sin
Sündenbock	scapegoat
Süß-	sweet
Süßigkeit	sweet
T-shirt	T-shirt
TV	TV
Tabak	tobacco
Tabelle	table
Tadschikisch	Tajik
Tadschikistan	Tajikistan
Tafel	board
Tafel	blackboard
Tafelsilber	silverware
Tag	day
Tagebuch	diary
Taifun	typhoon
Taille	waist
Taiwan	Taiwan
Taiwaner	Taiwanese
Tangens	tangent
Tangente	tangent
Tankstelle	gas station
Tanne	fir
Tansania	Tanzania
Tantal	tantalum
Tante	aunt
Tanz	dance
Tapete	wallpaper
Tapferkeit	bravery
Tapir	tapir
Tarnung	camouflage
Tasche	pocket
Taschendieb	pickpocket
Taschentuch	handkerchief
Tasmanien	Tasmania
Tasse	cup
Tasse	tea
Tastatur	keyboard
Taste	key
Tat	deed
Tatsache	fact
Tau	dew
Taube	pigeon
Taube	dove
Taufe	baptism
Taxi	taxi
Technetium	technetium
Technik	technique
Teddybär	teddy bear
Tee	tea
Teeblatt	tea
Teeblatt	tea leaf
Teelöffel	teaspoon
Teer	tar
Teheran	Tehran
Teich	pond
Teig	dough
Teigwaren	pasta
Teil	part
Teil	portion
Teilnehmer	participant
Teilung	division
Telefon	telephone
Telefon	phone
Telefonnummer	telephone number
Telegramm	telegram
Teleskop	telescope
Teller	plate
Teller	dish
Tellur	tellurium
Tempel	temple
Temperatur	temperature
Tendenz	tendency
Tennis	tennis
Teppich	carpet
Termin	schedule
Termite	termite
Territorium	territory
Terrorismus	terrorism
Terrorist	terrorist
Test	examination
Testament	will
Testosteron	testosterone
Tetris	Tetris
Teufel	devil
Thailand	Thailand
Thailänder	Thai
Thailändisch	Thai
Thallium	thallium
Theater	theater/homonyms
Theismus	theism
Thema	theme
Thema	subject
Thema	topic
Themse	Thames
Theologie	theology
Theorie	theory
Theresa	Teresa
Thermometer	thermometer
Thesaurus	thesaurus
Thomas	Thomas
Thrombozytopenie	thrombocytopenia
Thron	throne
Thunfisch	tuna
Tibet	Tibet
Tiefe	depth
Tier	animal
Tier	beast
Tierarzt	doctor
Tiger	tiger
Timişoara	Timişoara
Tinte	ink
Tisch	table
Tischfußball	foosball
Tischfußball	table football
Tischtennis	table tennis
Tischtennis	ping pong
Titan	titanium
Titel	title
Titte	tit
Tmesis	tmesis
Tochter	daughter
Tod	death
Togo	Togo
Toilettenpapier	toilet paper
Tokelau	Tokelau
Tokio	Tokyo
Tollwut	rabies
Tomahawk	tomahawk
Tomate	tomato
Ton	tone
Tonart	key
Tonbandgerät	tape recorder
Tonga	Tonga
Tonne	ton
Topf	pot
Tor	fool
Tor	goal
Torf	peat
Tornado	tornado
Torso	torso
Torte	pie
Torwart	goalkeeper
Totes Meer	Dead Sea
Totgeburt	stillbirth
Tourist	tourist
Trachea	trachea
Tradition	tradition
Tragödie	tragedy
Trainer	coach
Traktor	tractor
Transformation	transformation
Transkription	transliteration
Translation	translation
Transnistrien	Transnistria
Transpluto	Planet X
Transrealismus	transrealism
Transvestit	transvestite
Trappe	bustard
Traum	dream
Treffen	date
Treffen	meeting
Treiber	driver
Treibhauseffekt	greenhouse effect
Treibsand	quicksand
Treppe	stairs
Treppe	stair
Tresor	safe
Treue	allegiance
Triangel	triangle
Trichter	funnel
Trillion	trillion
Trinidad und Tobago	Trinidad and Tobago
