# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
irrigation	irrigation
irréversibilité du phénomène	irreversibility of the phenomenon
islandais	Icelandic
isolation	insulation
isolation acoustique	acoustic insulation
isomère	isomer
isotope	isotope
italien	Italian ; Italian
itinéraire	route
itsaso ; océan	ocean ; sea ; body of water ; bounding main
ivoire	ivory
j' ; je	I
jade	jade
jaguar	jaguar
jambe	leg
janvier	January
japonais	Japanese ; Japanese
jardin	garden
jardin botanique	botanical conservatory
jardin botanique	botanical garden
jardin familial	home garden
jardin à l'anglaise	English garden
jardin à la française	French formal garden
jardinier	gardener
jaune	yellow
javanais	Javanese
jazz	jazz
jeu	game
jeudi	Thursday
jeune	young
jour	day ; daytime
journal	diary
journal	newspaper
journalisme	journalism
judaïsme	Judaism
judo	judo
juillet	July
juin	June
jumeau	twin
jument	mare
juridiction	jurisdiction
jurisprudence	jurisprudence
justice	justice
kalaallisut	Kalaallisut
kannada ; kannara	Kannada ; Kannada
karaté	karate
karst	karst
kazakh	Kazakh ; Kazakh
khmer	Khmer ; Central Khmer
kilogramme	kilogram
kleptomanie	kleptomania
krypton	krypton
kérosène	kerosene
lLanthane ; lanthane	lanthanum
laboratoire	laboratory
laboratoire SIG	GIS laboratory
lac	lake
lac artificiel	artificial lake
lactosérum	whey
lagon	coral reef lagoon
lagunage	lagooning
lagune	lagoon
laine	wool
lait	milk
lait maternel	breast milk
laiterie	dairy farm
lampe	lamp ; light
lance	pike ; spear
lande	heathland
langue	language
langue	tongue
langue construite ; langue artificielle	constructed language ; artificial language
langue des signes	sign language
langue officielle	official language
lanterne	lantern
lao ; laotien	Lao ; Lao
lapin	rabbit
laque	lacquer
laser	laser ; Light Amplification by Stimulated Emission of Radiation
latin	Latin ; Latin
latitude	latitude
lavande	lavender ; lavander
lawrencium	lawrencium
lent ; lente	slow
lentille	lentil
les jambes écartées (debout)	astride
lessive	lye
letton	Latvian ; Latvian
lettre d'informations	newsletter
leucémie	leukaemia
levure	yeast
levure chimique	baking powder
lexique	lexicon
libellule	dragonfly
liberté	freedom ; liberty
liberté	freedom
liberté d'expression	freedom of speech ; freedom of speech
libre circulation des capitaux	free movement of capital
libre échange	free trade
libéralisme	liberalism
lichen	lichen
lien ; rate	spleen
lies d'huile	olive oil mill wastewater
lieu	place ; location
lieu de travail	workplace
ligne	line
ligne de partage des eaux	watershed
ligne à haute tension	high voltage line
ligne électrique	electric line ; power line
ligne électrique aérienne	overhead power line
lignite	lignite
limbourgeois	Limburgish ; Limburgian
limitation des immissions	immission limit
limite acceptable d'exposition	permissible exposure limit
limite administrative	administrative boundary
limnologie	limnology
limon	silt
linguistique	linguistics
lion	lion
lipide	lipid
liquide	liquid
liquéfaction de gaz	gas liquefaction
liquéfaction du charbon	coal liquefaction
lire	read
lit	bed
lit bactérien	bacterial bed
lit de cours d'eau	river bed
lit fluidisé	fluidised bed
lithium	lithium
lithographie	lithography
lithosphère	lithosphere
litière	litter
littoral	littoral
littoral maritime	seashore
littérature	literature
lituanien	Lithuanian ; Lithuanian
livre	book
lixiviat de décharge	landfill leachate
lixiviation	leaching
liège	cork
localisation du transport	destination of transport
location immobilière	estate rental
locomotive	locomotive
locuste	locust
logement	housing
logiciel	software
logique	logic
loi	law
loi de contrôle des immissions	immission control law
loi de finances	financial law
loi de mise en oeuvre	implementation law
loi de navigation aérienne	air traffic law
loi de police	police law
loi fédérale	federal law
loi fédérale de l'aviation	aviation law
loi normative	regulative law
loi relative à l'élimination des déchets	waste disposal act
loi relative à la protection contre le rayonnement	radiation protection law
loi régionale	regional law
loi sur l'EIE (Evaluation de l'impact sur l'environnement)	EIA law
loi sur l'alimentation des animaux d'élevage	forage law
loi sur l'essence chargée en plomb	lead-in-petrol law
loi sur la gestion du recyclage et les déchets	recycling management and waste law
loi sur la pêche	fishing law
loi sur les engrais	fertiliser law
loi sur les matières dangereuses	dangerous goods law
loi sur les produits chimiques	chemicals act
loisir de masse	mass recreation
loisirs	leisure activity
loisirs locaux	local recreation
lombric	earthworm
longitude	longitude
losange	rhombus ; rhomb
loterie	lottery
loup	wolf
lourd	heavy
lubrifiant	lubricant
luminosité	luminosity
lumière	light
lundi	Monday
lune	moon ; Luna ; Moon
lune ; lune	moon ; moon ; satelite ; satelite
lunettes	glasses ; spectacles
lutte antiparasitaire	pest control
lutte contre la désertification	desertification control
lutte contre la pollution	pollution control
lutte contre la sécheresse	drought control
lutte contre le bruit	noise control
lutte contre les inondations	flood control
lutte intégrée contre les nuisibles	integrated pest control
lutétium	lutetium
lux	lux
lysimétrie	lysimetry
lèvre	lip
législation	legislation
législation agricole	agricultural legislation
législation cadre	framework legislation
législation des matières dangereuses	hazardous substances legislation
législation en matière d'environnement	environmental legislation
législation en matière d'énergie	energy legislation
législation en matière d'énergie nucléaire	nuclear energy legislation
législation en matière de bruit	noise legislation
législation en matière de génie génétique	genetic engineering legislation
législation en matière de pollution	legislation on pollution
législation en matière de protection de l'eau	water protection legislation
législation en matière de préservation de la nature	nature conservation legislation
législation en matière de responsabilité	liability legislation
législation en matière des produits chimiques présents dans l'environnement	environmental chemicals legislation
législation environnementale sur l'agriculture	environmental legislation on agriculture
législation forestière	forestry legislation
législation immobilière	housing legislation
législation industrielle	industrial legislation
législation nationale	national legislation
législation régionale	provincial/regional law (D) ; regional legislation
législation sanitaire	health legislation
législation sur la planification	planning law
légume	vegetable
légume vert	green vegetable
léopard	leopard
lépidoptère	lepidopteran
lézard	lizard
machine ; machinerie	machinery ; mechanism
macro-économie	macroeconomics
macrophyte	macrophyte
macroscopique	macroscopic
macédonien	Macedonian ; Macedonian
magasin de peinture	paint shop
magnésium	magnesium
magnétisme	magnetism
mai	May
maillage	gridding
main-d'oeuvre	labour force
main-d'oeuvre	manpower
maintenance	maintenance (technical) ; maintenance
maintenance de l'environnement	maintenance of environment
maintien de la paix	peacekeeping
maire ; maire ; bourgmestre	mayor
maison ; domicile	home ; home ; house
maladie	disease ; illness ; affliction
maladie animale	animal disease
maladie cardiovasculaire	cardiovascular disease
maladie due aux radiations	radiation sickness
maladie humaine	human disease
maladie ichtyologique	fish disease
maladie immunologique	immunological disease
maladie infectieuse	infectious disease ; communicable diseases
maladie infectieuse	infectious disease
maladie liée au milieu environnant	environmentally related disease
maladie professionnelle	occupational disease
maladie psychosomatique	psychosomatic illness
maladie pulmonaire	pulmonary disease
maladie respiratoire	respiratory disease
malayâlam ; malayalam ; malayî	Malayalam ; Malayalam
malformation	malformation
malnutrition	malnutrition
maltais	Maltese
mammifère	mammal
mammifère aquatique	aquatic mammal
mammifère marin	marine mammal
mammifère terrestre	land mammal
management environnemental	environmental management
management environnemental	environmentally friendly management
manchot	penguin
mandarin	mandarin ; Mandarin ; Standard Mandarin
mandat	mandate
mandat exécutif	executive order
manganèse	manganese
manger	eat
mangrove	mangrove
mangue	mango
manipulation génétique	reproductive manipulation
maori	Maori
maquereau	mackerel
maquis	maquis
marais ; marécage	marsh
marathe ; marâthî ; marathi	Marathi ; Marāthi ; Marāthi ; MarÄthi
marbre	marble
marchand ; commerçant	merchant
marché	market ; marketplace
marché de l'environnement	environment market
marché de l'énergie	energy market
marché des facteurs de production	factor market
marché du travail	labour market
marché financier	financial market
marché intérieur européen	internal European market
marché monétaire	money market
marché public	public contract
mardi	Tuesday
mare ; flaque ; flaque	pool ; puddle ; puddle
mariculture	mariculture
marine marchande	merchant shipping
marketing	marketing
marqueur	marker
mars	March
marsupiaux	marsupial
marée haute	high tide water
marée noire	oil pollution
marée rouge	red tide
marée verte	green tide
mass media	mass media
masse	mass
masse atomique	atomic mass
massif montagneux	mountain range
maternité	motherhood ; maternity
mathématiques	mathematics
matière dangereuse	hazardous substance
matière minérale	mineral matter
matière organique	organic matter
matière oxydable	oxidisable material
matière polluée	polluted matter
matière première	raw material
matière première renouvelable	renewable raw material
matière première végétale	industrial plant (organism) ; industrial plant
matière recyclée	recycled material
matières brutes énergétiques	energy source material
matières dangereuses	dangerous goods
matériau ; matériaux	material ; materials
matériau alternatif	alternative material
matériau de construction	building material
matériau de remplissage	filling material
matériau dragué	dredged material
matériau industriel	industrial material
matériau nouveau	new material
matériaux naturels ; matérial naturel	natural material
matériel audiovisuel	audiovisual equipment
matériel militaire	military equipment
matériel mécanique	mechanical equipment
matériel électronique	electronic material
mausolée	mausoleum
mauvaise herbe	weed
mayonnaise	mayonnaise
mazout de chauffage	domestic fuel oil
maçon ; briqueteur	mason ; bricklayer ; stonemason
maçonnerie	masonry
maître nageur	lifeguard
meitnerium	meitnerium
membrane	membrane
mendélévium	mendelevium
mer ; mer	sea
mer caspienne	Caspian Sea
mer des Caraïbes ; mer des Antilles	Caribbean Sea
mer Égée	Aegean Sea
merci	cheers ; thank you ; thanks
mercredi	Wednesday ; quarta-feira
mercure	mercury
merle	blackbird
mesure (méthode analytique) ; mesure	measuring
mesure compensatoire	compensatory measure
mesure d'aménagement du territoire	planning measure
mesure d'atténuation	mitigation measure
mesure de contrôle	control measure
mesure de lutte contre la pollution	pollution control measure
mesure de pollution	pollution measurement
mesure de protection	protective measure
mesure de prévention	prevention measure
mesure de sécurité	safety measure
mesure du bruit	noise measurement
mesure du niveau sonore	sound measurement
mesure en faveur d'une consigne sur les emballages	arrangement for a deposit on packaging
mesure physique de la pollution	physical measurement of pollution
mesure préventive en matière de santé	preventive health measure
mesures de réduction de vitesse en zone résidentielle	residential area with traffic calmings
metrónomo	metronome
meubles	furniture
micro-ordinateur	microcomputer
micro-organisme	micro-organism
microbiologie	microbiology
microclimat	microclimate
microclimatologie	microclimatology
microfiltration	microfiltration
microphone	microphone
micropolluant	micropollutant
microscopie	microscopy
microécosystème	microecosystem
microélectronique ; micro-électronique	microelectronics ; microminiaturization ; microsystem electronics
miel	honey
mieux ; meilleur	better
migration animale	animal migration
migration de polluant	pollutant migration
migration des travailleurs	migrant labour
migration humaine	human migration
migration intérieure	internal migration
migration pendulaire	commuter traffic
milan royal	red kite
milieu abiotique	abiotic environment
milieu aquatique	aquatic environment
milieu de culture (microbiologie) ; milieu de culture	nutrient medium
milieu géophysique	geophysical environment
milieu marin	marine environment
milieu naturel	natural environment
mille	thousand
millet	millet
mine	mine
mine de lignite	lignite mining
minerai	ore
mineral métallique	metallic mineral
mineur	minor
minijupe ; jupette	miniskirt ; mini-skirt
minimisation de l'impact	impact minimisation
minimisation des dommages	minimisation of damage
ministère	ministry
minorité	minority
minute	minute
minéral	mineral
minéral non métallique	non-metallic mineral
minéralisation	mineralisation
minéralogie	mineralogy
miscibilité	miscibility
mise en application commune	joint implementation
mise en réserve de crédits pour la réduction des émissions	emission reduction banking
mise en valeur des terres	land reclamation
mission	assignment
mistral	mistral
mitose	mitosis
mitrailleuse	machine gun
mode de consommation	consumption pattern
mode de transport	mode of transportation
mode de vie	lifestyle
modification du paysage	landscape alteration
modification génétique	genetic modification
modèle	model
modèle ; schéma	model
modèle de comportement	behaviour pattern
modèle de développement	development model
modèle de développement	development pattern
modèle global	global model
modèle terrestre numérique	digital land model
modélisation	modelling
mois	month
mollusque	mollusc
molybdène	molybdenum
monde	world
monnaie	coin ; money
monopole	monopoly
monoxyde d'azote	nitrogen monoxide
monoxyde de carbone	carbon monoxide
montagne	mountain
montée	ascent
montée ; ascension	ascent
monument ; mémorial	monument
monument historique	historical monument
monument naturel	natural monument
morphine	morphine
morphologie	morphology
morse	walrus
mortalité	mortality
mortalité infantile	infant mortality
mosaïque	mosaic
mosquée	mosque
mot	word
motet	motet
moteur	engine
moteur diesel	diesel engine
moteur à combustion	combustion engine
moteur à essence	gasoline engine
moteur à gaz	gas engine
moteur à quatre temps	four stroke engine
mots croisés	crossword
mouchoir	handkerchief
moulin	mill
moulin à eau	water mill
moulin à vent	windmill
mousse végétale	moss
moustique	musquito ; mosquito
mouton	sheep
mouvement de population	population movement
mouvement planétaire des masses d'air	air movement
mouvement écologiste	ecologist movement
moyen de communication	means of communication
moyen de production agricole	means of agricultural production
moyens de réduction de la pollution	pollution abatement equipment
muet	dumb
mulch	mulch
mulet	mule
municipalité	local authority
mur	wall
musical ; performance musicale	musical
musicien	musician
musique	music
mustélidés	mustelid
musée	museum
mutagénicité	mutagenicity
mutant	mutant
mutation	mutation
mycologie	mycology
mycorhize	mycorrhiza
mycète	mycete
myrtille	huckleberry ; blueberry
mystérieux	mysterious
mythe	myth
mytiliculture	mussel farming
mâle ; taureau	bull
mère	mother
mécanique de précision	precision engineering
médecine	medicine ; medicine (practice)
médecine du travail	occupational medicine
médecine du travail en industrie	industrial medicine
médecine environnementale	environmental medicine
médicament	drug
méfait écologique	environmental misconduct
mégaoctet	megabyte
mélange gazeux	gas mixture
mélanger	mixing
mélodie	melody ; tune
ménage	household
ménage particulier	private household
méningite	meningitis
ménorah	menorah
méta-informations	metainformation
métabolisme	metabolism
métabolite	metabolite
métal	metal
métal lourd	heavy metal
métal non ferreux	non-ferrous metal
métal toxique	toxic metal
métalloïde ; non-métal	non-metal
métalloïde ; semi-métal	semi-metal
métallurgie	metallurgy
métaphore	metaphor
métaphysique	metaphysics
méthane	methane ; marsh gas ; methyl hydride
méthanisation	methanisation
méthanol	methanol
méthode	method
méthode analytique	analytical method
méthode biochimique	biochemical method
méthode biologique de lutte contre les nuisibles	biological pest control
méthode chimique de mesure de la pollution	chemical measurement of pollution
méthode culturale	cultivation method
méthode d'interprétation	interpretation method
méthode d'évaluation	evaluation method
méthode de calcul	calculation method
méthode de détermination	determination method
méthode de mesure	measuring method
méthode mathématique	mathematical method
méthodes agricoles	agricultural method
méthodologie	methodology
métier de l'environnement	environmental occupation
métro	underground railway
métro	underground train
métrologie	metrology
métropole	metropolis
météore ; météore ; météore ; météore ; météore ; étoile filante	meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star
météorite	meteorite
météorologie	meteorology
nadir	nadir
napolitain	Neapolitan ; Neapolitan
nappe de pétrole	oil slick
nationalisation	nationalisation
nausée	nausea
navigation	navigation
navigation aérienne civile	civil air traffic
navigation de plaisance	boating
navigation fluviale	inland navigation
navigation maritime	maritime navigation
navire dépollueur	oil recovery vessel
navire à voile ; voilier	sailing ship
navire-citerne	tanker ; tanker (ship)
ne pas	not
ne rien ; rien	nothing
neige	snow
neptunium	neptunium
nettoiement des plages	beach cleansing
nettoyage	cleaning up
nettoyage à sec	dry cleaning
neuf	9 ; nine
neurologie	neurology
neurotoxicité	neurotoxicity
neutralisation	neutralisation
nez	nose
niche écologique	ecological niche
nickel	nickel
nidification	nesting
niobium	niobium
nitrate	nitrate
nitrate de peroxyacétyle	peroxyacetylnitrate
nitrification	nitrification
nitrosamine	nitrosamine
niveau acoustique	acoustic level ; sound pressure level
niveau critique	critical level
niveau d'eau	water level
niveau d'efficacité	efficiency level
niveau d'études	level of education
niveau de la mer	sea level
niveau de risque acceptable	acceptable risk level
niveau de vie	living standard
niveau municipal	municipal level
niveau sonore	noise level
niveau trophique	trophic level
nobélium	nobelium
noir	black
noir ; sombre ; obscure	black ; dark
noix de coco	kokosnoot ; coconut
nom	name ; proper name ; proper noun
nom ; substantif ; substantiivi	noun ; substantive
nomade	nomad
nombre premier	prime number ; prime
nombril ; ombilic	belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus
nomenclature	nomenclature
non	no
normalisation internationale	international standardisation
norme	norm
norme ; standard	standard
norme ISO	ISO standard
norme de contrôle des pesticides	pesticide control standard
norme de pollution	pollution norm
norme de produit	product standard
norme de qualité	quality standard
norme de qualité de l'environnement	environmental quality standard
norme de qualité des logements	housing quality standard
norme de rejet	emission standard
norme européenne	European standard
norvégien	Norwegian
note	note
notification	notification
notion juridique indéfinie	indefinite legal concept
nourisson	infant
nous	nosotros ; we
nouveau ; nouvel ; nouvelle ; neuf	new ; novel
nouvel an ; jour de l'an ; jour du nouvel an	New Year ; New Year's Day
nouvelle communauté	new community
nouvelle installation	new installation
nouvelle technologie	new technology
novembre	November
novial	Novial
nuage	cloud
nuisance sonore	noise disturbance ; noise pollution
nutriment	nutrient
nutrition	nutrition
nutrition animale	animal nutrition
nutrition appliquée	applied nutrition
nynorsk	Nynorsk
nécrose	necrosis
néerlandais ; hollandais ; flamand ; flamand	Dutch
négociation informelle	informal negotiation
nématodes	nematode
néodyme	neodymium
néologisme	neologism
néon	neon
néoplasme ; tumeur	neoplasm ; tumour
népalais	Nepali ; Nepali
népotisme	nepotism
objectif de qualité	quality objective
objectif de qualité environnementale	environmental quality objective
objectif macroéconomique	macroeconomic goal
objectifs des entreprises	goal of individual economic business
objection	objection
obligation d'enregistrement	registration obligation
obligation d'information	obligation to inform
obligation d'étiquetage	obligation to label
observation	observation
observatoire	observatory
obsolète	obsolete
obstacle ; empêchement	obstacle ; obstruction
obèse ; gros	fat ; obese
obéir	obey
obésité	obesity
occupation du sol	land occupation
octave	octave
octobre	October
océan antarctique	Antarctic Ocean ; Southern Ocean
océan arctique	Arctic Ocean
océan atlantique nord	North Atlantic Ocean
océanographie	oceanography
odeur	odour
odontologie	dentistry
oeuf ; œuf	egg
offre	supply
offre et demande	supply and demand
ohm	ohm
oie	goose
oignon	onion
oiseau	bird
oiseau migrateur	migratory bird
oiseaux nicheurs	breeding bird
oligarchie	oligarchy
oligopole	oligopoly
olive	olive
oléoduc	oil pipeline
oléoduc ; pipeline	pipeline
oméga	omega
oncologie	oncology
onde à hyperfréquences	microwave
ongulé	ungulate
ontogenèse ; ontogenèse	ontogenesis ; ontogenesis ; ontogeny
ontologie	ontology
ophtalmologie	ophthalmology
opinion	opinion ; stance
opinion publique	public opinion
opium	opium
optimisation des installations	installation optimisation
optimisme ; optimisme ; optimisme ; optimisme ; optimisme ; optimisme ; optimisme	optimism ; optimism ; optimism ; optimism ; optimism ; optimism ; optimism
optique	optics
opéra	opera
opérette	operetta
or	gold
orage	thunderstorm
orange	orange
orchestre	orchestra
orchidée	orchid
ordinateur	computer
ordonnance	ordinance
ordonnance des  biotopes	biotope order
ordre	order
ordre juridique communautaire	Community legal system
ordures ménagères	domestic waste
oreille	ear
oreillon ; oreillons	mumps
organe	organ
organe de conseil auprès du gouvernement	government advisory body
organe judiciaire	judicial body
organisation administrative	administrative organisation
organisation de l'enseignement	organisation of teaching
organisation de l'entreprise	business organisation
organisation de l'espace aérien	airspace planning
organisation de la justice	organisation of the legal system
organisation de protection de l'environnement	environmental protection organisation
organisation de protection de la nature	nature conservation organisation
organisation internationale	international organisation
organisation judiciaire	judicial system
organisation non gouvernementale	non-governmental organisation
organisation politique	political organisation
organisme	organism
organisme administratif a compétence environnementale	environmental administration institution
organisme aquatique	aquatic organism
organisme d'eau douce	freshwater organism
organisme génétiquement modifié	genetically modified organism
organisme marin	marine organism
organisme non cible	non-target organism
organisme pathogène	pathogenic organism
organisme utile	beneficial organism
organite	organelle
orge	barley
ornithologie	ornithology
orographie	orography
orphelin	orphan
orteil	toe
orthographe	orthography
orthoptère	orthopteran
osmium	osmium
osmose	osmosis
osmose inverse	reverse osmosis
ostréiculture	oyster farming
otage	hostage
ou	or
oui	aye ; yeah ; yep ; yes
ourdou	Urdu ; Urdu
ours	bear
ours blanc	polar bear
ouvrage d'art	engineering work
ovaire	ovary
ovidé	ovine
oxydant photochimique	photochemical oxidant
oxydation	oxidation
oxyde	oxide
oxyde d'azote	nitrogen oxide
oxyde métallique	metal oxide
oxydes d'azote	nitrogen oxides
oxydoréduction	oxidation-reduction
oxygène	oxygen
oxygène dissous	dissolved oxygen
oxygénation	oxygenation
ozonation	ozonisation
ozone	ozone
ozone atmosphérique	atmospheric ozone
pacifiste	pacifist
page	page
page d'accueil	homepage
pain	bread
paix	peace
palindrome	palindrome
palladium	palladium
palmier	palm
paludisme ; malaria	malaria
paléoclimatologie	palaeoclimatology
paléontologie	palaeontology
paléoécologie	palaeoecology
pancréas	pancreas
pandémie	pandemic
panjâbî ; penjâbî	Punjabi ; Panjabi
pantalon	trousers
pape	pope
papier	paper
papier recyclé	recycled paper
papier usagé	waste paper
papillon	butterfly
parabole	parabola
parachute	parachute
paramètre	parameter
paramètre météorologique	meteorological parameter
paramètre écologique	ecological parameter
parasite	parasite
parasites agricoles	agricultural pest
parasitologie	parasitology
parc de loisirs	amusement park
parc de stationnement	car park
parc marin	marine park
parc national	national park
parc naturel	natural park
parc naturel régional	regional natural park
parc zoologique	zoological garden
parcs et jardins publics	public park
parquet	public prosecutor's office
partenariat public / privé	public-private partnership
parti politique ; parti	party ; political party
participation	participation
participation active	active participation
participation publique	public participation
particule	particle
particule atmosphérique	atmospheric particulate
partie de la plante	plant component
passage	crossing place
passereaux (passeriformes)	songbird
pathologie	pathology
pathologie végétale	plant disease
patrimoine animal	animal heritage
patrimoine biologique	biological heritage
patrimoine culturel	cultural heritage
patrimoine génétique	genetic pool ; gene pool
patrimoine naturel	natural heritage
patrimoine végétal	plant heritage
paume	palm
pauvreté	poverty
pavillon de complaisance	flag of convenience
pays développé	developed country
pays en développement	developing country
pays moins avancé	less developed country
paysage	landscape
paysage cultivé	agricultural landscape
paysage minier	landscape after mining
peau	skin
peine de mort ; peine capitale	death penalty ; capital punishment ; death sentence
peinture	paint
pelleterie	furriery
pelouse	open lawn
pelouse ; pré	meadow
pelouse sèche	dry lawn
pentachlorophénol	pentachlorophenol
pente	slope
perce-oreille	earwig
perception de l'environnement	environmental perception
permis applicable à l'environnement	environmental licence
permis d'aménagement	planning permission
permis d'exportation	export licence
permis d'importation	import licence
permis de chasse	hunting licence
permis de construire	building permit
permis de pêche	fishing licence
perméabilité	permeability
perroquet	parrot
persan	Persian ; Western Farsi ; Farsi
persistance	persistence
persistance des pesticides	persistence of pesticides
personne	person
personne agée	elderly person
personne déplacée	displaced person
personne handicapée	disabled person
perte	loss
perte de biotope	loss of biotope
pessimisme	pessmism
pesticide	pesticide
petit	short ; small
petit-déjeuner ; repas du matin	breakfast
petit-enfant	grandchild
petit-fils	grandson
phanérogame	phanerogam ; spermatophyte
pharmacie ; pharmacie	chemist's ; chemist's shop ; pharmacy
pharmacien	chemist ; pharmacist
pharmacocinétique	pharmacokinetics
pharmacologie	pharmacology
phenol halogéné	halogenated phenol
philologie	philology
philosophie	philosophy
phishing ; hameçonnage	phishing
phobie	phobia
phonétique	phonetics
phosphate	phosphate
phosphore	phosphorus
photo ; photographie	photo ; photograph
photodécomposition	photodegradation
photogrammétrie	photogrammetry
photographie	photography
photographie aérienne	aerial photograph
photographie aérienne	aerial photography
photon	photon
photosynthèse	photosynthesis
physicochimie	physical chemistry
physiologie	physiology
physiologie animale	animal physiology
physiologie des plantes	plant physiology
physiologie humaine	human physiology
physique	physics
physique atmosphérique	atmospheric physics
physique des rayonnements	radiation physics
physique nucléaire	nuclear physics
phytomasse	phytomass
phytopathologie	phytopathology
phytoplancton	phytoplankton
phytosociologie	phytosociology
phytotoxicité	phytotoxicity
phénol	phenol
phénomène atmosphérique	atmospheric process
phénomène météorologique	meteorological phenomenon
phérormone	pheromone
piano-forte ; forte-piano ; piano	piano ; pianoforte
pied	foot
pierre	stone
pierre naturelle	natural stone
pile alcaline	alkaline battery
pile bouton	button-cell battery
pile à combustible	fuel cell
pile électrique	electric battery
pilotage	pilotage
pin	pino ; pine
pinnipèdes	pinniped
pisciculture	fish farming
piscine	swimming pool
pissenlit	dandelion
piste cyclable	cycle path
piste de ski	ski run
pixel	pixel
pizza	pizza
pièce d'exposition	exhibit
piégeage de particules par des gouttes	rainout
piémontais	Piedmontese ; Piedmontese ; Piemontese ; Piemontese
place de stationnement	parking provision
placenta	placenta
plage	beach
plaine	plain
plaine alluviale	alluvial plain
plan	plane
plan	plan
plan cadre de l'agriculture	agriculture framework plan
plan catastrophe	disaster contingency plan
plan d'affectation	allocation plan
plan d'aménagement	development plan
plan d'exposition au bruit	noise exposure plan
plan d'intervention en cas de catastrophe	environmental contingency planning
plan d'occupation des sols	land use plan
plan d'urgence	emergency plan
plan de gestion	management plan
plan municipal d'environnement	municipal environment plan
plan écologique	environmental plan
plan économique	economic plan
plancton	plankton
planification	planning
planification de l'enseignement	educational planning
planification de l'espace physique	physical planning
planification de la construction	building planning
planification nationale	national planning
planification politique	policy planning
planification rurale	agricultural planning
planification régionale	regional planning
planification écologique	environmental planning
planification économique	economic planning
planning familial	family planning
planning industriel	industrial planning
plantation (d'arbres) ; plantation	planting
plante	plant
plante aquatique	aquatic plant
plante cultivée	cultivated plant
plante fourragère	fodder plant
plante grimpante (mur)	climbing plant (wall) ; climbing plant
plante médicinale	medicinal plant
plante sauvage	wild plant
plante textile	textile plant
plante tropicale	tropical plant
plante à fleur	flowering plant
planète	planet
plasma sanguin	blood plasma
plastique	plastic
plastique recyclable	recyclable plastic
plate-forme continentale ; plateau continental	continental shelf
platine	platinum
plein ; bondé ; bondé	full
plomb ; saturne	lead
plomberie (bâtiment) ; plomberie	fitting (plumbing) ; fitting ; plumbing equipment ; plumbing fixtures
pluie acide	acid rain
plume	feather
plutonium ; plutonium ; plutonium	plutonium ; plutonium ; plutonium
pneu	tyre
pneu d'automobile	car tyre
pocessus anaérobie	anaerobic process
poids	weight
point	point
point d'ébullition	boiling point
pointe de flèche	arrowhead
poire	pear
poison	poison
poisson	fish
poisson migrateur	migratory fish
polder	polder
police	police
politique	politics
politique	policy
politique agricole	agricultural policy
politique agricole commune	common agricultural policy ; common agricultural policy of the EU
politique budgétaire	budget policy
politique commerciale commune	common commercial policy
politique communautaire	EC policy
politique culturelle	cultural policy
politique d'aide	aid policy
politique d'entreprise	company policy
politique d'élargissement	enlargement policy
politique de compensation (commerce des permis d'émissions)	offset policy (emissions trading)
politique de conservation de la nature	conservation policy
politique de coopération	co-operation policy
politique de crédit	credit policy
politique de l'entreprise	business policy
politique de l'environnement ; politique environnementale	environmental policy
politique de la "bulle" (permis d'émissions négociables) ; politique de la bulle	bubble policy (emissions trading) ; bubble policy
politique de la communication	communications policy
politique de la construction	construction policy
politique de la pêche	fishery policy
politique de la recherche	research policy
politique de prix des ressources	pricing policy of resources
politique de production	production policy
politique de préservation des paysages	landscape conservation policy
politique des administrations locales	local government policy
politique des changes	exchange policy
politique des prix	prices policy
politique des salaires	pay policy
politique en matière d'éducation	education policy
politique en matière de produits chimiques	chemical policy
politique environnementale industrielle	industrial environmental policy
politique forestière	forest policy
politique gouvernementale	government policy
politique industrielle	industrial policy
politique internationale	international politics
politique municipale de l'environnement	municipal environmental policy
politique tarifaire commune	common tariff policy
politique économique	economic policy
politique énergétique	energy policy
politique étrangère	foreign policy
pollen	pollen
polluant	pollutant
polluant atmosphérique	air pollutant
polluant atmosphérique gazeux	gaseous air pollutant
polluant bioaccumulatif	bioaccumulative pollutant
polluant biodégradable	biodegradable pollutant
polluant biologique	biological pollutant
polluant chimique	chemical pollutant
polluant halogéné	halogenated pollutant
polluant inorganique	inorganic pollutant
polluant non biodégradable	non-biodegradable pollutant
polluant organique	organic pollutant
polluant organique persistant	persistant organic pollutant
polluant physique	physical pollutant
polluant radioactif	radioactive pollutant
polluant sonore	noise pollutant
pollution	pollution
pollution accidentelle	incidental pollution
pollution agricole	agricultural pollution
pollution atmosphérique	atmospheric pollution
pollution atmosphérique ; pollution de l'air	air pollution
pollution atmosphérique intérieure	indoor air pollution
pollution automobile	motor vehicle pollution
pollution bactériologique	bacteriological pollution
pollution biologique	biological pollution
pollution chimique	chemical pollution
pollution composite	composite pollution
pollution d'estuaire	estuary pollution
pollution de l'environnement	environmental pollution
pollution de la mer	marine pollution
pollution de lac	lake pollution
pollution des eaux douces	freshwater pollution
